strain_id,A_MTX_5-FC.HNM1_TPO1,A_MTX_Fluconazole.HNM1_TPO1,A_MTX_Metformin.HNM1_TPO1,A_MTX_Trifluoperazine.HNM1_TPO1,A_MTX_noDrug.HNM1_TPO1,A_noMTX_5-FC.HNM1_TPO1,A_noMTX_Fluconazole.HNM1_TPO1,A_noMTX_Metformin.HNM1_TPO1,A_noMTX_Trifluoperazine.HNM1_TPO1,A_noMTX_noDrug.HNM1_TPO1,B_MTX_5-FC.HNM1_TPO1,B_MTX_Fluconazole.HNM1_TPO1,B_MTX_Metformin.HNM1_TPO1,B_MTX_Trifluoperazine.HNM1_TPO1,B_MTX_noDrug.HNM1_TPO1,B_noMTX_5-FC.HNM1_TPO1,B_noMTX_Fluconazole.HNM1_TPO1,B_noMTX_Metformin.HNM1_TPO1,B_noMTX_Trifluoperazine.HNM1_TPO1,B_noMTX_noDrug.HNM1_TPO1,T0_noMTX_noDrug.HNM1_TPO1
7,592.0,214.0,765.0,845.0,315.0,1228.0,6.0,504.0,15.0,437.0,1105.0,3.0,642.0,589.0,529.0,1054.0,203.0,460.0,397.0,406.0,53.0
701,5.0,14.0,450.0,5.0,8.0,839.0,400.0,593.0,36.0,551.0,7.0,2.0,232.0,31.0,0.0,830.0,1805.0,372.0,772.0,319.0,79.0
702,0.0,4.0,263.0,2.0,1.0,891.0,49.0,789.0,38.0,346.0,5.0,12.0,158.0,6.0,0.0,506.0,167.0,389.0,402.0,319.0,95.0
703,7.0,3.0,10.0,7.0,10.0,23.0,6.0,15.0,11.0,11.0,18.0,4.0,22.0,5.0,4.0,19.0,18.0,10.0,47.0,5.0,17.0
705,0.0,0.0,35.0,0.0,0.0,608.0,86.0,402.0,15.0,260.0,4.0,0.0,13.0,1.0,0.0,394.0,215.0,323.0,455.0,102.0,61.0
709,46.0,318.0,139.0,128.0,47.0,37.0,709.0,25.0,10.0,18.0,103.0,873.0,100.0,89.0,86.0,34.0,177.0,26.0,55.0,24.0,24.0
711,0.0,1.0,1.0,0.0,3.0,2.0,1.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,7.0,3.0,4.0,1.0
713,405.0,120.0,168.0,927.0,798.0,152.0,216.0,189.0,15.0,166.0,1021.0,1.0,239.0,1635.0,681.0,130.0,124.0,149.0,714.0,98.0,145.0
715,0.0,5.0,0.0,1.0,0.0,30.0,11.0,12.0,10.0,38.0,0.0,0.0,4.0,0.0,0.0,21.0,65.0,10.0,19.0,10.0,9.0
717,152.0,70.0,187.0,260.0,181.0,363.0,154.0,166.0,24.0,383.0,194.0,25.0,202.0,439.0,266.0,261.0,129.0,235.0,371.0,165.0,237.0
721,4.0,5.0,95.0,13.0,1.0,664.0,482.0,426.0,13.0,606.0,13.0,6.0,147.0,14.0,4.0,400.0,464.0,516.0,542.0,295.0,154.0
724,5.0,4.0,21.0,5.0,4.0,8.0,4.0,20.0,10.0,9.0,11.0,1.0,7.0,10.0,3.0,23.0,9.0,17.0,14.0,9.0,1.0
727,315.0,121.0,1048.0,477.0,212.0,434.0,34.0,494.0,28.0,240.0,575.0,101.0,696.0,345.0,425.0,250.0,48.0,333.0,225.0,229.0,113.0
729,1235.0,3784.0,1293.0,2288.0,1807.0,979.0,174.0,787.0,41.0,540.0,2111.0,3266.0,665.0,1861.0,2410.0,702.0,149.0,427.0,572.0,396.0,120.0
731,62.0,1.0,327.0,11.0,41.0,642.0,338.0,716.0,190.0,599.0,86.0,5.0,152.0,296.0,12.0,440.0,130.0,655.0,501.0,344.0,147.0
732,4.0,0.0,28.0,0.0,1.0,13.0,12.0,53.0,17.0,10.0,5.0,1.0,39.0,4.0,0.0,34.0,19.0,34.0,19.0,44.0,6.0
734,20.0,5.0,24.0,23.0,32.0,29.0,22.0,32.0,11.0,6.0,58.0,3.0,24.0,46.0,34.0,12.0,12.0,40.0,10.0,24.0,6.0
735,0.0,2.0,41.0,2.0,2.0,208.0,40.0,143.0,16.0,137.0,17.0,0.0,19.0,8.0,13.0,144.0,52.0,151.0,205.0,173.0,49.0
738,6.0,21.0,10.0,1.0,4.0,13.0,13.0,23.0,9.0,6.0,14.0,8.0,8.0,4.0,0.0,13.0,44.0,13.0,13.0,8.0,4.0
739,90.0,6.0,349.0,99.0,67.0,1958.0,446.0,1442.0,100.0,1234.0,198.0,2.0,163.0,155.0,68.0,1122.0,410.0,1268.0,1881.0,618.0,1054.0
740,32.0,0.0,20.0,129.0,55.0,23.0,17.0,42.0,42.0,13.0,87.0,0.0,12.0,140.0,168.0,55.0,16.0,23.0,26.0,31.0,9.0
741,50.0,12.0,65.0,64.0,18.0,13.0,5.0,21.0,10.0,8.0,74.0,2.0,60.0,64.0,20.0,16.0,16.0,13.0,11.0,11.0,4.0
742,39.0,22.0,419.0,114.0,23.0,385.0,2088.0,588.0,100.0,510.0,68.0,4.0,308.0,133.0,42.0,195.0,4583.0,430.0,440.0,560.0,139.0
748,0.0,8.0,4.0,0.0,0.0,27.0,10.0,12.0,11.0,6.0,1.0,3.0,5.0,6.0,1.0,21.0,13.0,17.0,13.0,13.0,25.0
749,0.0,3.0,61.0,0.0,0.0,25.0,14.0,31.0,5.0,52.0,3.0,2.0,33.0,0.0,0.0,13.0,12.0,11.0,55.0,26.0,5.0
754,1.0,3.0,7.0,1.0,2.0,73.0,5.0,29.0,8.0,106.0,5.0,0.0,9.0,2.0,1.0,38.0,8.0,51.0,27.0,20.0,11.0
755,0.0,9.0,4.0,1.0,0.0,1.0,4.0,7.0,12.0,5.0,5.0,3.0,0.0,1.0,3.0,14.0,16.0,3.0,4.0,8.0,3.0
756,78.0,100.0,160.0,178.0,191.0,133.0,30.0,99.0,25.0,54.0,148.0,28.0,92.0,422.0,136.0,98.0,125.0,94.0,84.0,34.0,93.0
760,241.0,1483.0,454.0,150.0,133.0,87.0,30.0,188.0,16.0,113.0,218.0,8.0,387.0,186.0,124.0,124.0,55.0,87.0,74.0,54.0,30.0
77,5.0,9.0,11.0,4.0,4.0,19.0,26.0,60.0,28.0,27.0,3.0,16.0,15.0,7.0,0.0,29.0,63.0,46.0,6.0,31.0,2.0
772,3.0,48.0,17.0,15.0,4.0,2.0,13.0,15.0,5.0,9.0,10.0,34.0,19.0,5.0,8.0,17.0,14.0,7.0,3.0,13.0,4.0
775,1.0,3.0,36.0,2.0,2.0,61.0,34.0,66.0,40.0,34.0,4.0,4.0,40.0,5.0,3.0,84.0,55.0,73.0,74.0,63.0,67.0
778,462.0,24.0,313.0,374.0,553.0,283.0,111.0,217.0,53.0,203.0,597.0,5.0,136.0,446.0,1012.0,234.0,744.0,203.0,224.0,129.0,58.0
78,0.0,0.0,26.0,1.0,0.0,283.0,45.0,46.0,5.0,99.0,1.0,0.0,11.0,0.0,0.0,135.0,6.0,46.0,212.0,66.0,21.0
782,0.0,1.0,9.0,1.0,1.0,15.0,23.0,20.0,6.0,15.0,3.0,0.0,7.0,3.0,1.0,29.0,42.0,30.0,11.0,6.0,3.0
783,884.0,10146.0,236.0,730.0,1549.0,425.0,80.0,223.0,11.0,358.0,2177.0,1172.0,185.0,1438.0,760.0,158.0,61.0,199.0,135.0,32.0,28.0
784,2.0,41.0,26.0,3.0,4.0,639.0,161.0,134.0,6.0,279.0,7.0,6.0,25.0,8.0,8.0,518.0,29.0,144.0,323.0,81.0,52.0
789,3.0,11.0,10.0,0.0,0.0,17.0,2.0,32.0,32.0,9.0,4.0,0.0,5.0,2.0,1.0,20.0,5.0,20.0,23.0,16.0,4.0
790,20.0,57.0,248.0,30.0,14.0,475.0,342.0,442.0,53.0,253.0,31.0,1.0,231.0,49.0,30.0,414.0,303.0,208.0,477.0,210.0,158.0
791,39.0,145.0,101.0,101.0,49.0,40.0,10.0,60.0,11.0,51.0,48.0,25.0,50.0,93.0,56.0,50.0,26.0,50.0,45.0,32.0,26.0
795,43.0,39.0,1039.0,30.0,28.0,1595.0,1079.0,1765.0,184.0,1312.0,52.0,1.0,919.0,164.0,17.0,1074.0,1321.0,1457.0,973.0,946.0,344.0
796,3.0,143.0,425.0,6.0,1.0,611.0,5036.0,599.0,51.0,1144.0,0.0,14.0,235.0,0.0,2.0,579.0,5722.0,604.0,1651.0,1152.0,571.0
797,4.0,4.0,6.0,8.0,1.0,5.0,16.0,11.0,10.0,6.0,6.0,1.0,4.0,13.0,1.0,10.0,12.0,6.0,10.0,13.0,4.0
798,2.0,1.0,190.0,3.0,2.0,1551.0,327.0,1141.0,58.0,1919.0,2.0,1.0,239.0,4.0,1.0,1810.0,624.0,1350.0,2665.0,945.0,401.0
800,0.0,0.0,3.0,1.0,0.0,1.0,18.0,2.0,8.0,3.0,3.0,0.0,4.0,4.0,1.0,8.0,16.0,10.0,9.0,3.0,1.0
801,4.0,70.0,6.0,3.0,1.0,4.0,17.0,3.0,9.0,2.0,6.0,28.0,10.0,4.0,6.0,9.0,6.0,5.0,5.0,9.0,6.0
803,0.0,0.0,2.0,0.0,0.0,6.0,13.0,9.0,3.0,3.0,0.0,0.0,3.0,4.0,0.0,22.0,2.0,6.0,8.0,5.0,0.0
804,5.0,77.0,26.0,8.0,1.0,14.0,11.0,8.0,17.0,9.0,5.0,15.0,21.0,13.0,7.0,23.0,19.0,28.0,20.0,18.0,5.0
805,1.0,2.0,11.0,5.0,8.0,14.0,8.0,10.0,5.0,7.0,15.0,2.0,5.0,7.0,0.0,13.0,5.0,4.0,4.0,5.0,3.0
807,0.0,3.0,13.0,1.0,1.0,113.0,31.0,80.0,8.0,74.0,1.0,0.0,10.0,4.0,0.0,45.0,17.0,17.0,12.0,10.0,31.0
808,11.0,3.0,22.0,18.0,8.0,22.0,12.0,20.0,13.0,10.0,21.0,1.0,18.0,21.0,9.0,36.0,45.0,18.0,14.0,18.0,6.0
809,295.0,73.0,423.0,443.0,534.0,271.0,34.0,324.0,23.0,388.0,632.0,2.0,273.0,472.0,744.0,193.0,106.0,265.0,236.0,226.0,75.0
81,4.0,19.0,15.0,0.0,3.0,553.0,27.0,183.0,6.0,158.0,2.0,1.0,12.0,4.0,1.0,329.0,238.0,189.0,392.0,34.0,133.0
811,164.0,452.0,128.0,780.0,446.0,86.0,199.0,65.0,25.0,128.0,202.0,171.0,139.0,843.0,444.0,95.0,361.0,72.0,325.0,60.0,45.0
812,4.0,1.0,6.0,2.0,1.0,6.0,10.0,9.0,2.0,3.0,8.0,3.0,4.0,3.0,0.0,9.0,9.0,12.0,9.0,3.0,0.0
813,16.0,32.0,100.0,47.0,18.0,114.0,24.0,74.0,27.0,40.0,27.0,14.0,63.0,66.0,26.0,73.0,79.0,82.0,137.0,83.0,19.0
819,1.0,1.0,30.0,2.0,2.0,260.0,15.0,202.0,58.0,420.0,5.0,1.0,35.0,3.0,2.0,211.0,31.0,292.0,243.0,79.0,25.0
821,4.0,0.0,36.0,0.0,3.0,84.0,29.0,31.0,2.0,55.0,3.0,1.0,14.0,2.0,0.0,82.0,22.0,33.0,55.0,80.0,17.0
823,15.0,12.0,60.0,10.0,17.0,16.0,223.0,46.0,16.0,23.0,28.0,1.0,35.0,59.0,8.0,35.0,32.0,23.0,39.0,59.0,2.0
830,1.0,0.0,1.0,1.0,0.0,6.0,2.0,12.0,7.0,6.0,1.0,1.0,1.0,2.0,0.0,11.0,2.0,3.0,7.0,4.0,2.0
833,17.0,41.0,40.0,36.0,14.0,20.0,39.0,24.0,14.0,15.0,32.0,3.0,31.0,37.0,23.0,39.0,11.0,14.0,14.0,22.0,6.0
835,229.0,615.0,133.0,71.0,65.0,671.0,59.0,462.0,7.0,322.0,409.0,316.0,189.0,340.0,70.0,319.0,19.0,441.0,274.0,60.0,415.0
837,47.0,11.0,73.0,46.0,18.0,47.0,5.0,88.0,23.0,11.0,58.0,11.0,60.0,43.0,44.0,112.0,20.0,52.0,55.0,26.0,9.0
838,12723.0,27855.0,8025.0,18539.0,16720.0,8236.0,1566.0,5058.0,703.0,3391.0,14808.0,12654.0,7495.0,31118.0,16890.0,4402.0,2208.0,3912.0,3716.0,2081.0,1427.0
839,8.0,16.0,23.0,18.0,4.0,30.0,6.0,24.0,21.0,16.0,12.0,1.0,22.0,33.0,8.0,35.0,13.0,13.0,22.0,12.0,3.0
841,85.0,5577.0,331.0,288.0,54.0,128.0,25.0,70.0,11.0,155.0,177.0,3985.0,216.0,244.0,89.0,165.0,278.0,53.0,580.0,48.0,145.0
842,65.0,327.0,116.0,178.0,215.0,21.0,42.0,49.0,24.0,25.0,251.0,83.0,75.0,195.0,173.0,47.0,95.0,30.0,43.0,27.0,12.0
843,8.0,62.0,48.0,17.0,1.0,125.0,309.0,221.0,83.0,147.0,9.0,166.0,45.0,12.0,6.0,232.0,583.0,157.0,281.0,175.0,66.0
848,6.0,7.0,7.0,0.0,3.0,3.0,14.0,15.0,4.0,3.0,5.0,6.0,6.0,3.0,2.0,7.0,14.0,1.0,1.0,4.0,3.0
850,14.0,16.0,520.0,4.0,6.0,2380.0,1254.0,2272.0,95.0,1504.0,13.0,34.0,439.0,16.0,2.0,1967.0,1267.0,1532.0,2673.0,1320.0,352.0
853,50.0,18.0,177.0,81.0,44.0,125.0,273.0,125.0,45.0,22.0,76.0,120.0,114.0,87.0,39.0,91.0,137.0,64.0,46.0,55.0,79.0
854,1.0,9.0,36.0,2.0,1.0,179.0,453.0,157.0,11.0,158.0,3.0,1.0,22.0,2.0,1.0,118.0,632.0,163.0,195.0,46.0,48.0
857,4.0,49.0,741.0,8.0,3.0,6558.0,3090.0,5191.0,415.0,6832.0,29.0,18.0,280.0,10.0,9.0,3111.0,5557.0,5221.0,4522.0,2938.0,1123.0
859,28.0,63.0,34.0,29.0,15.0,15.0,6.0,30.0,19.0,14.0,50.0,12.0,29.0,38.0,13.0,15.0,60.0,8.0,13.0,7.0,6.0
860,49.0,78.0,61.0,91.0,39.0,60.0,38.0,78.0,47.0,33.0,87.0,20.0,56.0,126.0,50.0,75.0,52.0,31.0,45.0,44.0,3.0
862,49.0,11.0,130.0,87.0,9.0,29.0,11.0,69.0,38.0,19.0,90.0,3.0,121.0,69.0,24.0,68.0,21.0,26.0,23.0,41.0,8.0
868,1.0,2.0,13.0,1.0,3.0,7.0,5.0,18.0,2.0,6.0,8.0,0.0,8.0,6.0,4.0,13.0,13.0,8.0,6.0,0.0,1.0
869,11.0,0.0,25.0,4.0,7.0,7.0,3.0,11.0,9.0,6.0,12.0,0.0,27.0,12.0,7.0,16.0,36.0,14.0,14.0,18.0,4.0
87,2.0,58.0,13.0,2.0,5.0,21.0,4.0,41.0,16.0,23.0,3.0,2.0,12.0,7.0,0.0,17.0,1.0,10.0,35.0,11.0,1.0
870,2.0,34.0,0.0,6.0,3.0,2.0,5.0,3.0,1.0,3.0,4.0,0.0,21.0,15.0,0.0,14.0,1.0,7.0,5.0,0.0,0.0
871,7.0,14.0,1.0,2.0,1.0,5.0,10.0,8.0,0.0,4.0,2.0,0.0,5.0,6.0,5.0,7.0,14.0,0.0,6.0,5.0,0.0
879,3.0,0.0,3.0,2.0,0.0,4.0,4.0,6.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,5.0,10.0,5.0
880,1.0,8.0,2.0,3.0,2.0,3.0,5.0,1.0,3.0,3.0,0.0,3.0,4.0,2.0,1.0,3.0,0.0,2.0,5.0,2.0,4.0
882,3.0,1.0,4.0,1.0,6.0,8.0,22.0,10.0,9.0,6.0,4.0,2.0,5.0,2.0,3.0,10.0,7.0,9.0,10.0,5.0,0.0
887,0.0,0.0,9.0,1.0,1.0,51.0,358.0,32.0,16.0,48.0,0.0,1.0,16.0,1.0,0.0,52.0,68.0,24.0,184.0,43.0,20.0
888,15.0,5.0,21.0,15.0,7.0,18.0,5.0,18.0,22.0,6.0,27.0,3.0,19.0,17.0,1.0,27.0,3.0,6.0,21.0,19.0,5.0
89,112.0,3565.0,343.0,236.0,523.0,104.0,130.0,46.0,7.0,85.0,289.0,1482.0,74.0,174.0,644.0,114.0,429.0,38.0,118.0,61.0,48.0
892,0.0,1.0,2.0,1.0,2.0,5.0,38.0,2.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,6.0,136.0,31.0,1.0,4.0,1.0
897,1.0,1.0,0.0,2.0,0.0,1.0,5.0,1.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,2.0,3.0,0.0
904,2.0,5.0,1.0,2.0,0.0,1.0,4.0,1.0,3.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0,2.0,3.0,4.0,0.0
91,269.0,1703.0,678.0,1469.0,1234.0,114.0,275.0,299.0,15.0,291.0,411.0,174.0,255.0,1035.0,1625.0,94.0,500.0,104.0,142.0,146.0,21.0
911,9.0,10.0,48.0,15.0,12.0,24.0,4.0,25.0,10.0,7.0,17.0,4.0,39.0,15.0,9.0,24.0,5.0,14.0,16.0,16.0,4.0
916,545.0,53.0,950.0,715.0,464.0,1540.0,797.0,576.0,16.0,922.0,1376.0,171.0,865.0,557.0,1193.0,917.0,781.0,553.0,1302.0,460.0,176.0
923,8.0,6.0,13.0,11.0,7.0,44.0,47.0,17.0,4.0,19.0,16.0,2.0,6.0,14.0,17.0,38.0,11.0,22.0,17.0,18.0,13.0
924,4.0,7.0,4.0,2.0,1.0,9.0,3.0,4.0,0.0,5.0,13.0,0.0,2.0,2.0,2.0,14.0,5.0,5.0,2.0,6.0,4.0
930,1.0,14.0,54.0,5.0,0.0,124.0,366.0,74.0,2.0,97.0,10.0,4.0,47.0,4.0,4.0,93.0,425.0,120.0,122.0,104.0,44.0
931,176.0,33.0,198.0,404.0,271.0,85.0,201.0,135.0,7.0,117.0,483.0,24.0,158.0,498.0,776.0,58.0,200.0,120.0,105.0,52.0,27.0
933,9.0,25.0,13.0,15.0,8.0,5.0,7.0,8.0,1.0,1.0,9.0,10.0,11.0,8.0,5.0,7.0,9.0,4.0,5.0,3.0,2.0
936,300.0,77.0,795.0,943.0,384.0,548.0,342.0,686.0,24.0,487.0,577.0,7.0,468.0,456.0,519.0,398.0,412.0,441.0,410.0,367.0,98.0
937,1.0,5.0,10.0,6.0,1.0,5.0,14.0,12.0,17.0,4.0,2.0,7.0,8.0,1.0,3.0,17.0,2.0,5.0,9.0,8.0,3.0
939,352.0,46.0,394.0,712.0,341.0,349.0,210.0,169.0,15.0,183.0,656.0,9.0,255.0,765.0,692.0,271.0,191.0,179.0,591.0,79.0,110.0
94,568.0,13378.0,251.0,692.0,1038.0,458.0,491.0,262.0,29.0,110.0,1184.0,8469.0,243.0,947.0,932.0,159.0,551.0,132.0,98.0,114.0,40.0
941,0.0,0.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,2.0,0.0,3.0,4.0,0.0
942,3.0,0.0,2.0,1.0,5.0,2.0,1.0,8.0,4.0,2.0,9.0,0.0,2.0,4.0,2.0,3.0,3.0,0.0,2.0,2.0,0.0
943,9.0,21.0,4.0,6.0,12.0,5.0,248.0,5.0,0.0,5.0,4.0,16.0,8.0,12.0,0.0,3.0,739.0,1.0,6.0,4.0,1.0
945,1.0,6.0,0.0,0.0,2.0,1.0,3.0,11.0,2.0,1.0,4.0,3.0,2.0,1.0,0.0,8.0,4.0,0.0,2.0,6.0,0.0
946,0.0,21.0,1.0,1.0,1.0,1.0,183.0,2.0,0.0,3.0,6.0,13.0,0.0,0.0,2.0,10.0,10.0,1.0,3.0,4.0,1.0
953,4.0,26.0,7.0,1.0,5.0,10.0,3.0,5.0,5.0,5.0,9.0,17.0,10.0,6.0,5.0,7.0,6.0,2.0,5.0,4.0,0.0
957,4.0,10.0,9.0,9.0,14.0,6.0,6.0,9.0,6.0,4.0,13.0,7.0,5.0,11.0,7.0,5.0,1.0,5.0,6.0,3.0,3.0
959,2.0,6.0,26.0,8.0,7.0,149.0,498.0,161.0,311.0,182.0,12.0,22.0,24.0,5.0,2.0,333.0,332.0,186.0,225.0,154.0,28.0
960,14.0,2.0,58.0,27.0,23.0,19.0,3.0,20.0,14.0,14.0,39.0,0.0,35.0,47.0,9.0,36.0,3.0,13.0,14.0,12.0,4.0
962,4.0,4.0,7.0,2.0,2.0,9.0,7.0,5.0,2.0,1.0,2.0,3.0,1.0,4.0,3.0,12.0,4.0,2.0,11.0,4.0,1.0
966,1.0,2.0,6.0,3.0,0.0,2.0,2.0,9.0,2.0,5.0,0.0,0.0,2.0,0.0,2.0,4.0,3.0,1.0,5.0,3.0,3.0
967,8.0,44.0,19.0,3.0,3.0,3.0,4.0,19.0,8.0,5.0,7.0,2.0,25.0,9.0,5.0,12.0,0.0,1.0,2.0,10.0,1.0
972,4678.0,28232.0,1169.0,3498.0,4526.0,1080.0,201.0,692.0,7.0,387.0,6781.0,19128.0,1270.0,3335.0,7266.0,763.0,488.0,289.0,497.0,231.0,78.0
973,1.0,25.0,183.0,3.0,2.0,97.0,238.0,187.0,2.0,117.0,2.0,2.0,101.0,2.0,0.0,69.0,48.0,117.0,136.0,68.0,29.0
976,2.0,32.0,7.0,4.0,4.0,4.0,2.0,3.0,1.0,3.0,3.0,9.0,3.0,3.0,4.0,2.0,1.0,6.0,1.0,1.0,0.0
980,5.0,79.0,10.0,15.0,8.0,5.0,19.0,3.0,6.0,3.0,11.0,36.0,11.0,5.0,7.0,17.0,8.0,5.0,9.0,3.0,1.0
983,19.0,361.0,40.0,86.0,60.0,2.0,10.0,5.0,7.0,3.0,78.0,279.0,44.0,62.0,73.0,6.0,4.0,11.0,6.0,6.0,0.0
984,34.0,21.0,707.0,144.0,33.0,437.0,249.0,512.0,26.0,486.0,40.0,19.0,689.0,97.0,18.0,457.0,173.0,345.0,232.0,520.0,78.0
985,0.0,2.0,3.0,4.0,2.0,3.0,6.0,3.0,8.0,8.0,3.0,0.0,2.0,2.0,0.0,2.0,1.0,7.0,2.0,3.0,0.0
987,86.0,18.0,134.0,68.0,39.0,22.0,6.0,26.0,2.0,14.0,131.0,0.0,81.0,41.0,238.0,27.0,6.0,38.0,13.0,19.0,17.0
99,8.0,53.0,59.0,11.0,7.0,19.0,85.0,29.0,5.0,16.0,14.0,1.0,20.0,41.0,5.0,23.0,10.0,29.0,53.0,8.0,26.0
991,0.0,2.0,50.0,3.0,2.0,211.0,84.0,254.0,13.0,117.0,4.0,0.0,25.0,3.0,3.0,122.0,41.0,76.0,226.0,164.0,47.0
992,0.0,0.0,4.0,0.0,1.0,34.0,12.0,26.0,20.0,43.0,0.0,2.0,1.0,2.0,0.0,36.0,18.0,18.0,38.0,31.0,5.0
996,169.0,58.0,216.0,138.0,72.0,222.0,4433.0,88.0,7.0,145.0,267.0,21.0,106.0,201.0,120.0,242.0,1785.0,95.0,637.0,112.0,91.0
998,4.0,4.0,4.0,2.0,3.0,6.0,6.0,6.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,4.0,8.0,0.0,6.0,1.0,0.0
999,2.0,18.0,2.0,15.0,8.0,2.0,4.0,2.0,1.0,1.0,13.0,2.0,3.0,19.0,5.0,1.0,2.0,1.0,0.0,1.0,0.0
1052,1.0,50.0,2.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,3.0,11.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
17_2,0.0,0.0,1.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0
217,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.0,9.0,0.0,2.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,5.0,1.0,8.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0
292,2.0,1.0,5.0,4.0,0.0,2.0,45.0,4.0,3.0,0.0,5.0,0.0,4.0,4.0,6.0,1.0,13.0,10.0,2.0,1.0,1.0
387,2.0,9.0,4.0,2.0,1.0,1.0,9.0,2.0,2.0,0.0,0.0,3.0,1.0,1.0,2.0,5.0,6.0,1.0,2.0,2.0,3.0
411,2.0,0.0,1.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
501,0.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,6.0,3.0,1.0,1.0,0.0
506,2.0,0.0,2.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0
607,0.0,2.0,0.0,4.0,4.0,2.0,6.0,1.0,2.0,0.0,5.0,0.0,1.0,1.0,2.0,3.0,5.0,2.0,1.0,2.0,0.0
643,0.0,5.0,1.0,2.0,0.0,2.0,1.0,5.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0
753,1.0,7.0,4.0,0.0,0.0,4.0,2.0,6.0,3.0,2.0,4.0,2.0,0.0,4.0,1.0,2.0,5.0,3.0,6.0,1.0,1.0
79,0.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,2.0
917,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,1.0
956,1.0,5.0,84.0,1.0,1.0,282.0,4.0,78.0,7.0,150.0,1.0,3.0,25.0,1.0,2.0,221.0,67.0,104.0,85.0,96.0,36.0
454,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,5.0
932,3.0,3.0,7.0,5.0,3.0,3.0,2.0,4.0,0.0,0.0,6.0,4.0,0.0,2.0,4.0,2.0,1.0,1.0,2.0,0.0,1.0
