strain_id,A_MTX_5-FC.HNM1_TPO1,A_MTX_Fluconazole.HNM1_TPO1,A_MTX_Metformin.HNM1_TPO1,A_MTX_Trifluoperazine.HNM1_TPO1,A_MTX_noDrug.HNM1_TPO1,A_noMTX_5-FC.HNM1_TPO1,A_noMTX_Fluconazole.HNM1_TPO1,A_noMTX_Metformin.HNM1_TPO1,A_noMTX_Trifluoperazine.HNM1_TPO1,A_noMTX_noDrug.HNM1_TPO1,B_MTX_5-FC.HNM1_TPO1,B_MTX_Fluconazole.HNM1_TPO1,B_MTX_Metformin.HNM1_TPO1,B_MTX_Trifluoperazine.HNM1_TPO1,B_MTX_noDrug.HNM1_TPO1,B_noMTX_5-FC.HNM1_TPO1,B_noMTX_Fluconazole.HNM1_TPO1,B_noMTX_Metformin.HNM1_TPO1,B_noMTX_Trifluoperazine.HNM1_TPO1,B_noMTX_noDrug.HNM1_TPO1,T0_noMTX_noDrug.HNM1_TPO1
468,652.0,16.0,439.0,1124.0,403.0,1120.0,241.0,904.0,23.0,430.0,1331.0,2.0,356.0,906.0,689.0,809.0,405.0,407.0,587.0,324.0,88.0
470,28.0,177.0,23.0,14.0,10.0,7.0,10.0,19.0,5.0,8.0,57.0,5.0,28.0,25.0,16.0,35.0,17.0,8.0,12.0,13.0,2.0
473,3.0,6.0,57.0,4.0,1.0,51.0,14.0,45.0,7.0,36.0,6.0,4.0,9.0,1.0,0.0,70.0,19.0,43.0,30.0,53.0,17.0
475,27.0,67.0,4926.0,17.0,31.0,17345.0,13660.0,25096.0,226.0,13021.0,28.0,29.0,3656.0,71.0,14.0,13931.0,13314.0,18829.0,17220.0,10402.0,2040.0
476,8.0,0.0,420.0,2.0,3.0,1220.0,831.0,1160.0,160.0,1026.0,10.0,1.0,181.0,15.0,1.0,1222.0,613.0,1155.0,4476.0,457.0,583.0
48,5.0,6.0,88.0,3.0,4.0,193.0,487.0,79.0,5.0,145.0,6.0,1.0,49.0,3.0,3.0,200.0,165.0,66.0,146.0,133.0,54.0
485,11.0,26.0,16.0,4.0,3.0,4.0,0.0,5.0,0.0,5.0,11.0,5.0,8.0,10.0,0.0,4.0,4.0,2.0,3.0,2.0,1.0
486,9.0,9.0,17.0,2.0,13.0,5.0,24.0,24.0,13.0,11.0,8.0,1.0,33.0,17.0,2.0,12.0,23.0,17.0,10.0,17.0,0.0
491,38.0,477.0,61.0,57.0,38.0,40.0,8.0,49.0,6.0,13.0,80.0,20.0,84.0,124.0,60.0,32.0,8.0,31.0,16.0,4.0,21.0
493,4.0,4.0,9.0,7.0,3.0,16.0,11.0,24.0,6.0,3.0,7.0,4.0,9.0,12.0,5.0,9.0,12.0,23.0,22.0,5.0,21.0
