strain_id,A_MTX_5-FC.HNM1_MID2,A_MTX_Fluconazole.HNM1_MID2,A_MTX_Metformin.HNM1_MID2,A_MTX_Trifluoperazine.HNM1_MID2,A_MTX_noDrug.HNM1_MID2,A_noMTX_5-FC.HNM1_MID2,A_noMTX_Fluconazole.HNM1_MID2,A_noMTX_Metformin.HNM1_MID2,A_noMTX_Trifluoperazine.HNM1_MID2,A_noMTX_noDrug.HNM1_MID2,B_MTX_5-FC.HNM1_MID2,B_MTX_Fluconazole.HNM1_MID2,B_MTX_Metformin.HNM1_MID2,B_MTX_Trifluoperazine.HNM1_MID2,B_MTX_noDrug.HNM1_MID2,B_noMTX_5-FC.HNM1_MID2,B_noMTX_Fluconazole.HNM1_MID2,B_noMTX_Metformin.HNM1_MID2,B_noMTX_Trifluoperazine.HNM1_MID2,B_noMTX_noDrug.HNM1_MID2,T0_noMTX_noDrug.HNM1_MID2
439,0.0,9.0,0.0,3.0,0.0,29.0,18.0,12.0,37,3.0,2.0,6.0,0.0,1.0,0.0,8.0,161.0,35.0,15.0,13.0,8.0
43_ref1,3.0,1.0,0.0,0.0,3.0,6.0,501.0,0.0,22,1.0,2.0,1.0,1.0,3.0,0.0,4.0,160.0,9.0,19.0,2.0,204.0
43_ref2,2.0,7.0,2.0,3.0,5.0,55.0,42.0,69.0,129,25.0,6.0,2.0,3.0,2.0,3.0,19.0,18.0,54.0,72.0,21.0,390.0
442,22.0,6.0,7.0,12.0,20.0,13.0,3.0,7.0,17,2.0,44.0,0.0,14.0,26.0,6.0,3.0,6.0,13.0,18.0,5.0,5.0
444,4.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,7,0.0,4.0,0.0,2.0,1.0,0.0,2.0,1.0,5.0,5.0,1.0,5.0
446,1.0,13.0,9.0,0.0,0.0,76.0,7.0,21.0,67,6.0,2.0,4.0,3.0,0.0,0.0,15.0,72.0,44.0,39.0,72.0,12.0
45,0.0,1.0,0.0,0.0,1.0,3.0,6.0,2.0,8,1.0,2.0,0.0,3.0,0.0,0.0,3.0,5.0,7.0,4.0,5.0,1.0
450,4.0,16.0,53.0,1.0,1.0,159.0,15.0,193.0,228,11.0,3.0,0.0,124.0,1.0,1.0,100.0,3.0,171.0,84.0,65.0,30.0
452,0.0,2.0,0.0,0.0,3.0,6.0,2.0,3.0,5,0.0,7.0,1.0,1.0,1.0,0.0,2.0,4.0,5.0,3.0,2.0,1.0
458,0.0,4.0,6.0,0.0,1.0,111.0,4.0,114.0,329,30.0,2.0,1.0,58.0,0.0,0.0,75.0,47.0,272.0,70.0,64.0,65.0
459,39.0,19.0,6.0,30.0,48.0,37.0,271.0,26.0,73,14.0,85.0,21.0,26.0,33.0,1.0,19.0,12.0,41.0,42.0,28.0,19.0
460,164.0,553.0,195.0,40.0,277.0,620.0,52.0,298.0,317,37.0,1206.0,201.0,599.0,66.0,163.0,235.0,343.0,939.0,154.0,171.0,76.0
466,19.0,0.0,3.0,5.0,4.0,12.0,3.0,3.0,27,3.0,16.0,0.0,6.0,3.0,1.0,8.0,1.0,1.0,4.0,2.0,7.0
468,1011.0,3.0,238.0,330.0,1119.0,496.0,26.0,237.0,253,36.0,3671.0,0.0,640.0,673.0,877.0,172.0,83.0,248.0,94.0,111.0,105.0
470,153.0,46.0,15.0,26.0,41.0,33.0,34.0,17.0,50,9.0,79.0,0.0,19.0,35.0,18.0,22.0,16.0,24.0,25.0,17.0,12.0
