strain_id,A_MTX_5-FC.ERV25_UIP4,A_MTX_Fluconazole.ERV25_UIP4,A_MTX_Metformin.ERV25_UIP4,A_MTX_Trifluoperazine.ERV25_UIP4,A_MTX_noDrug.ERV25_UIP4,A_noMTX_5-FC.ERV25_UIP4,A_noMTX_Fluconazole.ERV25_UIP4,A_noMTX_Metformin.ERV25_UIP4,A_noMTX_Trifluoperazine.ERV25_UIP4,A_noMTX_noDrug.ERV25_UIP4,B_MTX_5-FC.ERV25_UIP4,B_MTX_Fluconazole.ERV25_UIP4,B_MTX_Metformin.ERV25_UIP4,B_MTX_Trifluoperazine.ERV25_UIP4,B_MTX_noDrug.ERV25_UIP4,B_noMTX_5-FC.ERV25_UIP4,B_noMTX_Fluconazole.ERV25_UIP4,B_noMTX_Metformin.ERV25_UIP4,B_noMTX_Trifluoperazine.ERV25_UIP4,B_noMTX_noDrug.ERV25_UIP4,T0_noMTX_noDrug.ERV25_UIP4
835,23.0,19.0,19.0,9.0,5.0,14.0,6.0,5.0,56.0,6.0,25.0,4.0,25.0,11.0,3.0,29.0,4.0,13.0,121,16.0,18.0
837,106.0,3.0,360.0,214.0,145.0,170.0,42.0,105.0,133.0,69.0,229.0,1.0,123.0,111.0,141.0,142.0,94.0,101.0,240,120.0,44.0
838,18617.0,5778.0,29901.0,88432.0,11382.0,5205.0,5052.0,7256.0,9649.0,2043.0,40598.0,15151.0,41695.0,59051.0,14742.0,13918.0,4075.0,6454.0,22230,4537.0,2162.0
839,15.0,1.0,57.0,163.0,13.0,519.0,43.0,572.0,625.0,132.0,55.0,0.0,63.0,62.0,25.0,1055.0,156.0,394.0,2581,360.0,73.0
841,422.0,6552.0,1324.0,376.0,789.0,72.0,46.0,65.0,290.0,53.0,931.0,4379.0,1197.0,419.0,583.0,45.0,75.0,85.0,580,165.0,431.0
842,219.0,2093.0,998.0,578.0,270.0,215.0,267.0,104.0,216.0,74.0,284.0,575.0,792.0,449.0,62.0,263.0,67.0,95.0,594,144.0,63.0
843,13.0,84.0,162.0,25.0,6.0,1291.0,1849.0,626.0,1214.0,1365.0,19.0,153.0,120.0,21.0,11.0,999.0,730.0,1165.0,2166,3603.0,2301.0
848,1.0,3.0,12.0,8.0,4.0,15.0,6.0,6.0,30.0,12.0,15.0,9.0,15.0,7.0,0.0,9.0,11.0,11.0,48,11.0,17.0
850,11.0,14.0,45.0,8.0,3.0,416.0,750.0,585.0,511.0,178.0,17.0,29.0,36.0,11.0,3.0,514.0,300.0,694.0,2348,708.0,73.0
853,524.0,278.0,1861.0,421.0,65.0,772.0,149.0,834.0,480.0,164.0,1551.0,39.0,1167.0,202.0,257.0,700.0,206.0,1257.0,453,634.0,170.0
854,0.0,7.0,8.0,0.0,1.0,9.0,196.0,62.0,50.0,3.0,7.0,2.0,5.0,0.0,2.0,43.0,137.0,11.0,112,5.0,9.0
