strain_id,A_MTX_5-FC.SNA4_GTR2,A_MTX_Fluconazole.SNA4_GTR2,A_MTX_Metformin.SNA4_GTR2,A_MTX_Trifluoperazine.SNA4_GTR2,A_MTX_noDrug.SNA4_GTR2,A_noMTX_5-FC.SNA4_GTR2,A_noMTX_Fluconazole.SNA4_GTR2,A_noMTX_Metformin.SNA4_GTR2,A_noMTX_Trifluoperazine.SNA4_GTR2,A_noMTX_noDrug.SNA4_GTR2,B_MTX_5-FC.SNA4_GTR2,B_MTX_Fluconazole.SNA4_GTR2,B_MTX_Metformin.SNA4_GTR2,B_MTX_Trifluoperazine.SNA4_GTR2,B_MTX_noDrug.SNA4_GTR2,B_noMTX_5-FC.SNA4_GTR2,B_noMTX_Fluconazole.SNA4_GTR2,B_noMTX_Metformin.SNA4_GTR2,B_noMTX_Trifluoperazine.SNA4_GTR2,B_noMTX_noDrug.SNA4_GTR2,T0_noMTX_noDrug.SNA4_GTR2
192,13.0,63.0,3.0,46.0,16.0,21.0,9.0,12.0,17.0,18.0,1.0,44.0,61,20.0,23.0,19.0,17.0,5.0,13.0,4.0,4.0
20,0.0,2.0,5.0,3.0,2.0,30.0,4.0,8.0,20.0,83.0,1.0,0.0,15,1.0,1.0,67.0,3.0,7.0,43.0,21.0,11.0
209,0.0,3.0,6.0,7.0,0.0,104.0,24.0,116.0,85.0,99.0,0.0,3.0,50,3.0,0.0,73.0,74.0,44.0,75.0,86.0,83.0
210,5.0,1.0,2.0,4.0,5.0,38.0,2.0,14.0,12.0,26.0,4.0,1.0,33,1.0,4.0,16.0,6.0,11.0,16.0,11.0,8.0
226,106.0,88.0,89.0,133.0,210.0,56.0,31.0,28.0,69.0,343.0,199.0,14.0,473,130.0,100.0,105.0,30.0,43.0,122.0,112.0,84.0
235,4.0,0.0,9.0,0.0,0.0,24.0,3.0,40.0,18.0,112.0,0.0,1.0,6,2.0,1.0,18.0,3.0,17.0,32.0,64.0,15.0
240,0.0,0.0,1.0,1.0,0.0,4.0,4.0,3.0,4.0,9.0,0.0,0.0,6,1.0,0.0,3.0,0.0,3.0,4.0,2.0,3.0
248,114.0,10.0,71.0,294.0,95.0,19.0,7.0,88.0,72.0,148.0,107.0,2.0,680,84.0,33.0,55.0,1.0,132.0,190.0,135.0,33.0
250,0.0,7.0,1.0,0.0,1.0,0.0,22.0,5.0,6.0,5.0,2.0,0.0,4,1.0,0.0,6.0,1.0,10.0,4.0,3.0,2.0
252,3.0,9.0,2.0,4.0,1.0,7.0,26.0,6.0,10.0,21.0,1.0,3.0,45,6.0,3.0,8.0,87.0,20.0,9.0,5.0,2.0
253,11.0,9.0,43.0,5.0,4.0,166.0,132.0,47.0,42.0,27.0,11.0,8.0,51,18.0,9.0,62.0,30.0,54.0,49.0,215.0,4.0
254,0.0,2.0,12.0,3.0,4.0,180.0,82.0,478.0,348.0,685.0,0.0,1.0,37,3.0,1.0,229.0,166.0,321.0,623.0,778.0,195.0
257,4.0,2.0,7.0,10.0,1.0,36.0,117.0,18.0,88.0,120.0,1.0,1.0,107,2.0,2.0,86.0,135.0,59.0,66.0,138.0,226.0
258,199.0,45.0,203.0,205.0,169.0,378.0,107.0,430.0,333.0,713.0,123.0,65.0,1653,226.0,235.0,765.0,340.0,320.0,535.0,659.0,143.0
27,29.0,3.0,106.0,54.0,43.0,13.0,2.0,70.0,37.0,120.0,138.0,0.0,528,59.0,41.0,60.0,6.0,31.0,38.0,42.0,10.0
