strain_id,A_MTX_5-FC.ERG11_ORM2,A_MTX_Fluconazole.ERG11_ORM2,A_MTX_Metformin.ERG11_ORM2,A_MTX_Trifluoperazine.ERG11_ORM2,A_MTX_noDrug.ERG11_ORM2,A_noMTX_5-FC.ERG11_ORM2,A_noMTX_Fluconazole.ERG11_ORM2,A_noMTX_Metformin.ERG11_ORM2,A_noMTX_Trifluoperazine.ERG11_ORM2,A_noMTX_noDrug.ERG11_ORM2,B_MTX_5-FC.ERG11_ORM2,B_MTX_Fluconazole.ERG11_ORM2,B_MTX_Metformin.ERG11_ORM2,B_MTX_Trifluoperazine.ERG11_ORM2,B_MTX_noDrug.ERG11_ORM2,B_noMTX_5-FC.ERG11_ORM2,B_noMTX_Fluconazole.ERG11_ORM2,B_noMTX_Metformin.ERG11_ORM2,B_noMTX_Trifluoperazine.ERG11_ORM2,B_noMTX_noDrug.ERG11_ORM2,T0_noMTX_noDrug.ERG11_ORM2
507,2.0,3.0,11.0,6.0,1.0,86.0,4.0,43.0,27.0,42.0,7.0,0.0,6.0,1.0,2.0,51.0,2.0,23.0,94.0,51.0,13.0
508,4.0,117.0,33.0,29.0,8.0,40.0,10.0,22.0,33.0,22.0,2.0,24.0,24.0,4.0,3.0,72.0,54.0,24.0,85.0,129.0,15.0
52,11.0,0.0,31.0,11.0,4.0,33.0,4.0,16.0,8.0,8.0,18.0,2.0,6.0,8.0,4.0,21.0,5.0,7.0,39.0,32.0,6.0
520,8.0,0.0,1.0,18.0,1.0,1.0,1.0,2.0,3.0,3.0,14.0,0.0,3.0,0.0,4.0,4.0,2.0,2.0,7.0,16.0,1.0
521,5.0,4.0,210.0,63.0,11.0,14.0,36.0,31.0,58.0,35.0,6.0,0.0,10.0,16.0,44.0,309.0,10.0,75.0,32.0,77.0,23.0
522,10.0,3.0,16.0,155.0,14.0,31.0,11.0,47.0,85.0,54.0,7.0,2.0,9.0,7.0,47.0,41.0,19.0,17.0,40.0,113.0,5.0
523,7094.0,2668.0,5085.0,42569.0,16522.0,2269.0,3256.0,3007.0,3005.0,2345.0,3602.0,219.0,4391.0,16711.0,49299.0,1816.0,596.0,1166.0,2407.0,7377.0,118.0
524,49.0,2.0,18.0,254.0,174.0,60.0,169.0,28.0,27.0,36.0,82.0,11.0,22.0,51.0,1121.0,48.0,8.0,8.0,20.0,33.0,2.0
525,143.0,3.0,129.0,292.0,197.0,296.0,17.0,153.0,65.0,88.0,191.0,1.0,95.0,106.0,757.0,130.0,10.0,70.0,196.0,197.0,16.0
531,6.0,1.0,4.0,32.0,3.0,37.0,243.0,10.0,6.0,12.0,5.0,10.0,3.0,1.0,10.0,7.0,3.0,2.0,3.0,18.0,3.0
532,4.0,3.0,2.0,83.0,6.0,4.0,13.0,1.0,4.0,4.0,9.0,10.0,4.0,4.0,34.0,2.0,2.0,1.0,2.0,11.0,0.0
535,1493.0,9009.0,1030.0,4640.0,1892.0,1507.0,5793.0,1132.0,699.0,995.0,2717.0,44.0,823.0,1906.0,2949.0,1293.0,539.0,479.0,928.0,1320.0,67.0
538,154.0,13.0,344.0,702.0,619.0,140.0,43.0,288.0,175.0,141.0,129.0,1346.0,368.0,186.0,1186.0,209.0,55.0,112.0,214.0,468.0,20.0
539,449.0,161.0,864.0,1217.0,1274.0,928.0,65.0,833.0,561.0,1127.0,483.0,230.0,1165.0,470.0,3572.0,1228.0,46.0,313.0,441.0,1358.0,46.0
540,117.0,26.0,41.0,167.0,186.0,149.0,321.0,150.0,63.0,88.0,155.0,70.0,53.0,94.0,253.0,156.0,48.0,36.0,84.0,136.0,21.0
541,29.0,6.0,40.0,28.0,5.0,57.0,10.0,61.0,47.0,28.0,5.0,0.0,79.0,27.0,14.0,74.0,417.0,118.0,28.0,179.0,7.0
543,2.0,0.0,2.0,7.0,2.0,2.0,4.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,7.0,4.0,0.0,2.0,0.0,10.0,2.0
