strain_id,A_MTX_5-FC.HNM1_RBD2,A_MTX_Fluconazole.HNM1_RBD2,A_MTX_Metformin.HNM1_RBD2,A_MTX_Trifluoperazine.HNM1_RBD2,A_MTX_noDrug.HNM1_RBD2,A_noMTX_5-FC.HNM1_RBD2,A_noMTX_Fluconazole.HNM1_RBD2,A_noMTX_Metformin.HNM1_RBD2,A_noMTX_Trifluoperazine.HNM1_RBD2,A_noMTX_noDrug.HNM1_RBD2,B_MTX_5-FC.HNM1_RBD2,B_MTX_Fluconazole.HNM1_RBD2,B_MTX_Metformin.HNM1_RBD2,B_MTX_Trifluoperazine.HNM1_RBD2,B_MTX_noDrug.HNM1_RBD2,B_noMTX_5-FC.HNM1_RBD2,B_noMTX_Fluconazole.HNM1_RBD2,B_noMTX_Metformin.HNM1_RBD2,B_noMTX_Trifluoperazine.HNM1_RBD2,B_noMTX_noDrug.HNM1_RBD2,T0_noMTX_noDrug.HNM1_RBD2
337,0.0,6.0,11.0,3.0,1.0,404.0,35.0,356.0,334.0,218.0,1.0,6.0,7.0,0.0,0.0,1194.0,14.0,1332.0,277.0,197.0,57.0
339,5.0,3.0,2.0,4.0,1.0,6.0,0.0,12.0,3.0,4.0,5.0,6.0,14.0,2.0,1.0,4.0,8.0,15.0,5.0,3.0,4.0
347,9.0,0.0,1.0,1.0,0.0,5.0,4.0,3.0,5.0,0.0,3.0,0.0,1.0,1.0,0.0,9.0,4.0,15.0,1.0,2.0,1.0
348,16.0,1.0,0.0,94.0,4.0,1.0,13.0,3.0,10.0,0.0,19.0,2.0,2.0,7.0,0.0,7.0,13.0,9.0,5.0,1.0,5.0
350,3.0,3.0,1.0,12.0,2.0,4.0,4.0,2.0,8.0,0.0,6.0,1.0,5.0,2.0,1.0,7.0,0.0,23.0,7.0,1.0,9.0
354,1.0,1.0,1.0,1.0,0.0,1.0,2.0,7.0,6.0,3.0,1.0,0.0,3.0,0.0,0.0,10.0,2.0,13.0,5.0,1.0,0.0
358,4.0,2.0,1.0,3.0,0.0,0.0,13.0,1.0,6.0,3.0,5.0,0.0,2.0,3.0,2.0,2.0,1.0,15.0,4.0,1.0,2.0
359,5.0,1.0,1.0,4.0,1.0,0.0,18.0,2.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,9.0,4.0,10.0,2.0,2.0,0.0
36,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
364,0.0,2.0,0.0,12.0,0.0,1.0,7.0,2.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,13.0,6.0,6.0,2.0,2.0,1.0
375,16.0,5.0,3.0,10.0,4.0,6.0,4.0,8.0,9.0,3.0,13.0,1.0,12.0,4.0,6.0,14.0,4.0,23.0,6.0,4.0,2.0
383,14.0,6.0,6.0,6.0,3.0,1349.0,13.0,502.0,1090.0,456.0,16.0,2.0,2.0,2.0,0.0,7487.0,66.0,2147.0,908.0,270.0,42.0
385,33.0,5.0,1.0,36.0,1.0,3.0,17.0,2.0,18.0,3.0,22.0,6.0,3.0,4.0,1.0,15.0,11.0,27.0,3.0,0.0,0.0
392,4.0,14.0,0.0,2.0,2.0,3.0,11.0,3.0,13.0,2.0,1.0,5.0,0.0,0.0,1.0,14.0,4.0,24.0,12.0,3.0,9.0
397,0.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,16.0,4.0,16.0,5.0,1.0,1.0
399,5.0,80.0,4.0,8.0,4.0,19.0,74.0,14.0,21.0,11.0,3.0,24.0,10.0,3.0,0.0,30.0,85.0,30.0,21.0,19.0,8.0
40,4.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,7.0,9.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0
400,48.0,0.0,35.0,46.0,39.0,62.0,384.0,36.0,58.0,25.0,39.0,0.0,116.0,49.0,29.0,391.0,1010.0,173.0,115.0,22.0,35.0
