strain_id,A_MTX_5-FC.FMP45_HNM1,A_MTX_Fluconazole.FMP45_HNM1,A_MTX_Metformin.FMP45_HNM1,A_MTX_Trifluoperazine.FMP45_HNM1,A_MTX_noDrug.FMP45_HNM1,A_noMTX_5-FC.FMP45_HNM1,A_noMTX_Fluconazole.FMP45_HNM1,A_noMTX_Metformin.FMP45_HNM1,A_noMTX_Trifluoperazine.FMP45_HNM1,A_noMTX_noDrug.FMP45_HNM1,B_MTX_5-FC.FMP45_HNM1,B_MTX_Fluconazole.FMP45_HNM1,B_MTX_Metformin.FMP45_HNM1,B_MTX_Trifluoperazine.FMP45_HNM1,B_MTX_noDrug.FMP45_HNM1,B_noMTX_5-FC.FMP45_HNM1,B_noMTX_Fluconazole.FMP45_HNM1,B_noMTX_Metformin.FMP45_HNM1,B_noMTX_Trifluoperazine.FMP45_HNM1,B_noMTX_noDrug.FMP45_HNM1,T0_noMTX_noDrug.FMP45_HNM1
418,8.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,10.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0
419,5.0,0.0,6.0,0.0,2.0,98.0,3.0,14.0,53.0,10.0,4.0,0.0,4.0,3.0,1.0,39.0,3.0,117.0,29.0,81.0,15.0
420,4.0,0.0,0.0,1.0,0.0,83.0,143.0,50.0,128.0,16.0,2.0,0.0,0.0,0.0,0.0,41.0,3.0,50.0,63.0,77.0,24.0
421,72.0,143.0,34.0,4.0,38.0,33.0,6.0,46.0,83.0,10.0,94.0,28.0,164.0,60.0,7.0,50.0,63.0,48.0,43.0,42.0,14.0
426,10.0,25.0,4.0,11.0,21.0,8.0,8.0,9.0,19.0,4.0,14.0,2.0,3.0,23.0,5.0,4.0,6.0,11.0,5.0,30.0,3.0
43,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
431,3.0,1.0,1.0,0.0,3.0,86.0,145.0,190.0,70.0,4.0,1.0,0.0,1.0,2.0,0.0,64.0,36.0,121.0,26.0,238.0,47.0
433,9.0,4.0,5.0,5.0,4.0,26.0,33.0,24.0,44.0,2.0,14.0,0.0,10.0,8.0,2.0,11.0,10.0,59.0,19.0,48.0,20.0
434,34.0,119.0,210.0,1.0,12.0,244.0,45.0,39.0,109.0,29.0,191.0,3.0,114.0,17.0,1.0,132.0,76.0,371.0,79.0,187.0,40.0
437,99.0,9.0,8.0,18.0,9.0,12.0,5.0,10.0,22.0,3.0,55.0,2.0,7.0,14.0,2.0,17.0,3.0,12.0,8.0,12.0,7.0
438,9.0,4.0,1.0,0.0,0.0,6.0,56.0,4.0,13.0,1.0,3.0,1.0,1.0,0.0,0.0,13.0,3.0,7.0,10.0,2.0,13.0
439,1.0,3.0,0.0,0.0,1.0,101.0,8.0,40.0,204.0,18.0,3.0,1.0,1.0,1.0,0.0,45.0,965.0,228.0,147.0,89.0,50.0
43_ref1,2.0,0.0,0.0,0.0,3.0,10.0,538.0,2.0,32.0,4.0,3.0,0.0,1.0,5.0,0.0,6.0,1059.0,182.0,14.0,14.0,205.0
43_ref2,6.0,2.0,1.0,2.0,6.0,135.0,8.0,41.0,280.0,47.0,7.0,2.0,3.0,8.0,1.0,67.0,277.0,96.0,81.0,143.0,372.0
442,63.0,7.0,5.0,33.0,23.0,13.0,12.0,9.0,46.0,2.0,60.0,0.0,9.0,48.0,6.0,12.0,6.0,24.0,12.0,28.0,12.0
444,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,1.0,1.0,0.0,3.0,2.0,0.0,2.0,0.0,2.0,4.0,3.0,3.0
446,0.0,6.0,0.0,1.0,4.0,29.0,477.0,12.0,71.0,5.0,0.0,0.0,0.0,3.0,0.0,8.0,1197.0,234.0,39.0,49.0,15.0
45,2.0,0.0,1.0,1.0,1.0,4.0,5.0,8.0,15.0,0.0,5.0,0.0,2.0,9.0,0.0,5.0,11.0,22.0,9.0,15.0,13.0
450,4.0,7.0,3.0,0.0,3.0,4.0,9.0,13.0,44.0,11.0,1.0,1.0,1.0,0.0,0.0,16.0,2.0,15.0,12.0,20.0,7.0
452,3.0,0.0,1.0,0.0,1.0,5.0,8.0,9.0,12.0,1.0,1.0,2.0,1.0,0.0,1.0,4.0,4.0,5.0,3.0,12.0,2.0
458,1.0,0.0,0.0,0.0,2.0,105.0,9.0,115.0,179.0,51.0,1.0,2.0,1.0,1.0,0.0,58.0,4.0,129.0,55.0,212.0,68.0
459,14.0,24.0,4.0,3.0,12.0,13.0,9.0,14.0,78.0,8.0,25.0,13.0,4.0,20.0,1.0,19.0,111.0,45.0,43.0,26.0,26.0
460,37.0,253.0,45.0,1.0,31.0,84.0,88.0,55.0,86.0,12.0,75.0,43.0,47.0,7.0,10.0,32.0,5.0,144.0,35.0,70.0,12.0
466,18.0,2.0,5.0,3.0,1.0,10.0,4.0,5.0,19.0,3.0,6.0,0.0,0.0,0.0,1.0,12.0,2.0,13.0,12.0,7.0,6.0
468,656.0,5.0,368.0,263.0,508.0,868.0,120.0,1019.0,823.0,134.0,1900.0,1.0,642.0,609.0,178.0,549.0,154.0,1107.0,265.0,869.0,267.0
470,651.0,271.0,54.0,93.0,97.0,220.0,773.0,92.0,278.0,50.0,503.0,104.0,61.0,115.0,8.0,129.0,1006.0,252.0,131.0,222.0,107.0
473,3.0,1.0,3.0,0.0,3.0,73.0,567.0,52.0,150.0,7.0,3.0,0.0,2.0,8.0,2.0,38.0,547.0,266.0,33.0,124.0,21.0
475,9.0,9.0,59.0,3.0,15.0,2432.0,2383.0,4154.0,2068.0,529.0,104.0,6.0,92.0,29.0,5.0,864.0,1855.0,5234.0,1355.0,3352.0,1034.0
476,8.0,13.0,9.0,3.0,4.0,1892.0,696.0,1344.0,3360.0,307.0,12.0,1.0,7.0,8.0,5.0,665.0,6758.0,3533.0,2062.0,3400.0,2102.0
48,3.0,8.0,1.0,2.0,6.0,8.0,15.0,13.0,14.0,4.0,6.0,4.0,2.0,1.0,1.0,6.0,7.0,12.0,5.0,20.0,6.0
485,6.0,10.0,46.0,0.0,3.0,82.0,1.0,57.0,26.0,6.0,36.0,2.0,15.0,13.0,0.0,175.0,3.0,51.0,29.0,51.0,15.0
486,17.0,5.0,119.0,3.0,5.0,289.0,22.0,297.0,310.0,31.0,152.0,3.0,255.0,18.0,3.0,166.0,26.0,620.0,71.0,474.0,35.0
491,100.0,0.0,196.0,59.0,61.0,111.0,27.0,102.0,144.0,20.0,261.0,362.0,472.0,41.0,14.0,67.0,5.0,178.0,50.0,188.0,127.0
493,14.0,4.0,10.0,2.0,14.0,72.0,13.0,148.0,89.0,9.0,29.0,7.0,61.0,6.0,1.0,42.0,3.0,149.0,28.0,104.0,48.0
495,5.0,0.0,4.0,0.0,3.0,418.0,26.0,313.0,525.0,49.0,9.0,0.0,8.0,3.0,1.0,217.0,38.0,188.0,163.0,246.0,77.0
50,3.0,6.0,1.0,2.0,9.0,3.0,3.0,2.0,18.0,2.0,115.0,4.0,11.0,5.0,3.0,2.0,4.0,10.0,3.0,8.0,5.0
503,2.0,1.0,4.0,1.0,3.0,67.0,6.0,79.0,102.0,7.0,4.0,0.0,4.0,1.0,1.0,47.0,16.0,53.0,52.0,47.0,20.0
507,0.0,3.0,0.0,1.0,1.0,56.0,3.0,35.0,25.0,5.0,0.0,1.0,0.0,0.0,0.0,31.0,4.0,29.0,16.0,19.0,30.0
508,2.0,139.0,14.0,0.0,0.0,271.0,23.0,364.0,231.0,47.0,4.0,5.0,9.0,3.0,1.0,180.0,241.0,531.0,152.0,463.0,148.0
52,0.0,0.0,2.0,0.0,1.0,75.0,11.0,251.0,62.0,24.0,3.0,1.0,3.0,1.0,0.0,17.0,92.0,135.0,31.0,174.0,30.0
520,2.0,1.0,1.0,0.0,1.0,8.0,2.0,3.0,18.0,1.0,6.0,0.0,2.0,2.0,2.0,7.0,3.0,12.0,8.0,23.0,5.0
521,8.0,1.0,4.0,1.0,5.0,139.0,7.0,27.0,74.0,36.0,7.0,0.0,8.0,11.0,0.0,472.0,5.0,37.0,27.0,37.0,54.0
522,10.0,7.0,12.0,3.0,14.0,247.0,34.0,151.0,282.0,58.0,15.0,3.0,16.0,4.0,3.0,55.0,10.0,302.0,187.0,307.0,47.0
523,2523.0,565.0,2851.0,695.0,936.0,3574.0,824.0,3532.0,4501.0,922.0,4815.0,190.0,5095.0,663.0,309.0,1354.0,655.0,4903.0,1044.0,3255.0,387.0
524,39.0,50.0,11.0,9.0,13.0,10.0,22.0,15.0,22.0,7.0,72.0,30.0,10.0,16.0,3.0,18.0,78.0,38.0,14.0,22.0,9.0
525,1567.0,15.0,179.0,1823.0,6166.0,170.0,47.0,145.0,124.0,26.0,4470.0,4.0,755.0,2209.0,1127.0,133.0,59.0,124.0,62.0,104.0,44.0
531,4.0,12.0,1.0,1.0,5.0,7.0,11.0,18.0,13.0,7.0,6.0,1.0,2.0,2.0,4.0,10.0,4.0,18.0,7.0,17.0,9.0
532,1.0,6.0,3.0,4.0,6.0,1.0,1.0,4.0,17.0,0.0,5.0,4.0,0.0,1.0,1.0,5.0,6.0,7.0,4.0,4.0,4.0
535,1010.0,4030.0,79.0,306.0,295.0,927.0,1670.0,220.0,1080.0,176.0,2967.0,2068.0,138.0,197.0,65.0,266.0,3533.0,976.0,623.0,996.0,307.0
538,770.0,37.0,382.0,75.0,152.0,708.0,130.0,1003.0,655.0,106.0,1711.0,10.0,691.0,123.0,34.0,429.0,223.0,1070.0,256.0,667.0,143.0
539,204.0,86.0,255.0,208.0,77.0,438.0,136.0,527.0,557.0,134.0,348.0,13.0,608.0,58.0,24.0,287.0,348.0,520.0,253.0,827.0,95.0
540,2991.0,409.0,485.0,2586.0,9459.0,406.0,118.0,489.0,201.0,35.0,10613.0,1711.0,736.0,2667.0,1295.0,374.0,1678.0,763.0,158.0,456.0,160.0
541,59.0,1.0,11.0,3.0,18.0,320.0,16.0,183.0,153.0,19.0,10.0,0.0,10.0,21.0,4.0,100.0,106.0,156.0,90.0,169.0,44.0
543,4.0,0.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,9.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,5.0,6.0,6.0
545,155.0,1152.0,59.0,18.0,37.0,246.0,325.0,178.0,115.0,38.0,194.0,1230.0,131.0,25.0,19.0,134.0,1253.0,478.0,75.0,306.0,87.0
546,6.0,6.0,3.0,1.0,2.0,144.0,78.0,273.0,169.0,23.0,7.0,2.0,6.0,2.0,0.0,92.0,10.0,217.0,71.0,200.0,40.0
557,11.0,0.0,0.0,4.0,9.0,68.0,6.0,104.0,129.0,16.0,20.0,0.0,4.0,8.0,1.0,39.0,13.0,82.0,50.0,113.0,25.0
559,10.0,3.0,7.0,2.0,7.0,6.0,8.0,12.0,48.0,10.0,79.0,1.0,0.0,4.0,1.0,5.0,2.0,9.0,11.0,12.0,10.0
564,33.0,79.0,10.0,2.0,11.0,21.0,24.0,33.0,28.0,5.0,116.0,12.0,20.0,16.0,11.0,15.0,22.0,44.0,10.0,25.0,13.0
567,93.0,13.0,305.0,31.0,10.0,561.0,88.0,816.0,755.0,199.0,157.0,9.0,549.0,26.0,10.0,310.0,151.0,879.0,227.0,969.0,138.0
57,2.0,2.0,0.0,3.0,2.0,55.0,121.0,42.0,67.0,6.0,5.0,0.0,3.0,0.0,1.0,13.0,22.0,51.0,20.0,31.0,22.0
571,25.0,6.0,6.0,5.0,32.0,14.0,113.0,18.0,19.0,2.0,171.0,1.0,37.0,12.0,4.0,7.0,28.0,17.0,17.0,18.0,7.0
574,1.0,0.0,2.0,0.0,2.0,106.0,9.0,53.0,50.0,15.0,2.0,0.0,2.0,10.0,2.0,21.0,4.0,60.0,12.0,52.0,7.0
576,2.0,16.0,0.0,0.0,1.0,28.0,0.0,6.0,12.0,4.0,4.0,4.0,0.0,3.0,2.0,9.0,5.0,4.0,5.0,36.0,5.0
578,1196.0,24823.0,350.0,881.0,1255.0,619.0,485.0,521.0,745.0,54.0,3143.0,4086.0,882.0,1019.0,307.0,323.0,288.0,631.0,363.0,501.0,227.0
58,1.0,0.0,0.0,1.0,2.0,8.0,4.0,6.0,28.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,6.0,2.0,27.0
581,2.0,7.0,1.0,2.0,0.0,515.0,65.0,633.0,295.0,101.0,8.0,5.0,2.0,3.0,0.0,372.0,8.0,628.0,220.0,674.0,87.0
586,20.0,31.0,3.0,4.0,13.0,245.0,8.0,203.0,145.0,49.0,23.0,9.0,7.0,7.0,2.0,71.0,4.0,298.0,118.0,163.0,60.0
588,6.0,1.0,1.0,0.0,7.0,19.0,14.0,24.0,46.0,6.0,20.0,2.0,4.0,7.0,0.0,17.0,5.0,65.0,18.0,52.0,10.0
589,8.0,39.0,2.0,1.0,5.0,360.0,190.0,177.0,266.0,71.0,8.0,6.0,4.0,3.0,0.0,121.0,251.0,418.0,203.0,288.0,83.0
590,5.0,2.0,2.0,0.0,2.0,5.0,18.0,12.0,36.0,2.0,11.0,0.0,2.0,7.0,2.0,10.0,3.0,13.0,11.0,26.0,5.0
596,1.0,0.0,2.0,1.0,4.0,184.0,98.0,143.0,214.0,43.0,3.0,0.0,2.0,2.0,0.0,84.0,236.0,142.0,79.0,274.0,102.0
598,310.0,89.0,169.0,4.0,60.0,578.0,19.0,455.0,646.0,63.0,824.0,38.0,450.0,53.0,17.0,272.0,123.0,519.0,248.0,387.0,148.0
599,974.0,1.0,334.0,710.0,1407.0,834.0,65.0,474.0,709.0,80.0,4711.0,10.0,901.0,973.0,326.0,474.0,415.0,891.0,331.0,568.0,190.0
