strain_id,A_MTX_5-FC.FMP45_HNM1,A_MTX_Fluconazole.FMP45_HNM1,A_MTX_Metformin.FMP45_HNM1,A_MTX_Trifluoperazine.FMP45_HNM1,A_MTX_noDrug.FMP45_HNM1,A_noMTX_5-FC.FMP45_HNM1,A_noMTX_Fluconazole.FMP45_HNM1,A_noMTX_Metformin.FMP45_HNM1,A_noMTX_Trifluoperazine.FMP45_HNM1,A_noMTX_noDrug.FMP45_HNM1,B_MTX_5-FC.FMP45_HNM1,B_MTX_Fluconazole.FMP45_HNM1,B_MTX_Metformin.FMP45_HNM1,B_MTX_Trifluoperazine.FMP45_HNM1,B_MTX_noDrug.FMP45_HNM1,B_noMTX_5-FC.FMP45_HNM1,B_noMTX_Fluconazole.FMP45_HNM1,B_noMTX_Metformin.FMP45_HNM1,B_noMTX_Trifluoperazine.FMP45_HNM1,B_noMTX_noDrug.FMP45_HNM1,T0_noMTX_noDrug.FMP45_HNM1
676,191.0,129.0,34.0,106.0,166.0,309.0,115.0,153.0,367.0,57.0,743.0,11.0,136.0,192.0,46.0,183.0,412.0,214.0,180.0,337.0,79.0
677,1.0,4.0,1.0,0.0,2.0,45.0,11.0,38.0,38.0,15.0,2.0,4.0,0.0,0.0,1.0,9.0,10.0,192.0,29.0,43.0,15.0
683,2.0,1.0,1.0,1.0,4.0,40.0,3.0,24.0,31.0,13.0,5.0,2.0,0.0,2.0,0.0,27.0,1.0,33.0,20.0,25.0,27.0
685,2.0,9.0,0.0,1.0,0.0,272.0,26.0,298.0,118.0,30.0,3.0,4.0,1.0,1.0,0.0,97.0,257.0,343.0,76.0,215.0,72.0
689,91.0,276.0,16.0,10.0,55.0,22.0,4.0,22.0,40.0,12.0,138.0,93.0,57.0,57.0,16.0,25.0,4.0,50.0,13.0,108.0,17.0
690,249.0,792.0,116.0,25.0,44.0,175.0,28.0,132.0,46.0,7.0,322.0,969.0,258.0,36.0,7.0,114.0,8.0,155.0,36.0,180.0,60.0
692,1.0,1.0,8.0,0.0,0.0,794.0,773.0,992.0,585.0,54.0,6.0,0.0,13.0,0.0,1.0,607.0,1794.0,1712.0,298.0,1383.0,366.0
693,17.0,10.0,13.0,12.0,15.0,130.0,16.0,80.0,139.0,18.0,26.0,3.0,14.0,32.0,2.0,60.0,338.0,214.0,26.0,114.0,85.0
695,85.0,7.0,90.0,15.0,26.0,243.0,38.0,359.0,187.0,29.0,234.0,3.0,127.0,43.0,5.0,133.0,66.0,340.0,82.0,421.0,53.0
697,10.0,1.0,4.0,2.0,3.0,33.0,73.0,95.0,73.0,11.0,7.0,1.0,4.0,8.0,2.0,22.0,71.0,108.0,66.0,69.0,30.0
7,6.0,3.0,4.0,3.0,7.0,12.0,3.0,6.0,19.0,2.0,1.0,1.0,4.0,2.0,0.0,10.0,7.0,14.0,31.0,25.0,7.0
701,6.0,14.0,5.0,0.0,8.0,39.0,10.0,20.0,59.0,4.0,19.0,4.0,9.0,23.0,0.0,16.0,143.0,40.0,26.0,37.0,10.0
702,4.0,1.0,19.0,0.0,4.0,1320.0,184.0,1067.0,1285.0,143.0,7.0,8.0,22.0,10.0,1.0,625.0,418.0,1298.0,422.0,781.0,333.0
703,9.0,0.0,4.0,3.0,5.0,7.0,0.0,6.0,13.0,1.0,12.0,3.0,3.0,18.0,1.0,3.0,2.0,7.0,7.0,6.0,7.0
705,0.0,0.0,2.0,1.0,2.0,255.0,4.0,169.0,233.0,41.0,5.0,0.0,3.0,1.0,0.0,93.0,9.0,238.0,142.0,280.0,62.0
709,16.0,63.0,48.0,6.0,12.0,89.0,63.0,44.0,156.0,22.0,32.0,41.0,51.0,27.0,8.0,29.0,3.0,132.0,49.0,148.0,32.0
711,1.0,1.0,0.0,1.0,0.0,5.0,12.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,114.0,23.0,0.0,2.0,5.0
713,246.0,46.0,37.0,353.0,374.0,29.0,7.0,37.0,39.0,10.0,438.0,8.0,145.0,529.0,156.0,17.0,3.0,23.0,26.0,26.0,35.0
715,0.0,4.0,0.0,0.0,0.0,27.0,0.0,14.0,28.0,3.0,1.0,0.0,1.0,0.0,0.0,11.0,4.0,15.0,18.0,38.0,27.0
717,585.0,359.0,353.0,205.0,235.0,466.0,47.0,384.0,452.0,51.0,1438.0,54.0,579.0,218.0,46.0,221.0,161.0,571.0,186.0,435.0,356.0
721,5.0,7.0,5.0,6.0,4.0,88.0,132.0,57.0,39.0,13.0,12.0,1.0,10.0,19.0,2.0,41.0,243.0,144.0,27.0,112.0,25.0
724,12.0,5.0,4.0,9.0,5.0,27.0,2.0,26.0,55.0,3.0,18.0,1.0,6.0,11.0,1.0,8.0,2.0,46.0,21.0,43.0,9.0
727,296.0,21.0,527.0,138.0,287.0,498.0,86.0,621.0,569.0,123.0,1090.0,29.0,1067.0,275.0,86.0,395.0,109.0,1421.0,157.0,558.0,190.0
729,639.0,2117.0,336.0,266.0,479.0,722.0,81.0,807.0,533.0,130.0,1989.0,783.0,726.0,671.0,134.0,569.0,174.0,849.0,253.0,485.0,213.0
731,27.0,20.0,64.0,18.0,51.0,5143.0,837.0,5811.0,8195.0,1008.0,184.0,2.0,90.0,130.0,2.0,2432.0,8382.0,10378.0,2813.0,5946.0,2541.0
732,5.0,0.0,3.0,4.0,8.0,701.0,21.0,883.0,972.0,176.0,8.0,1.0,6.0,5.0,2.0,356.0,25.0,846.0,236.0,839.0,125.0
734,1152.0,249.0,33.0,739.0,1345.0,459.0,120.0,473.0,543.0,96.0,1860.0,207.0,84.0,771.0,338.0,210.0,329.0,575.0,220.0,529.0,129.0
735,0.0,0.0,1.0,0.0,1.0,10.0,4.0,16.0,37.0,5.0,1.0,0.0,1.0,7.0,0.0,6.0,2.0,24.0,12.0,26.0,9.0
738,13.0,31.0,3.0,2.0,2.0,37.0,28.0,23.0,42.0,11.0,8.0,59.0,3.0,0.0,1.0,28.0,13.0,56.0,33.0,91.0,12.0
739,3.0,0.0,30.0,4.0,3.0,513.0,130.0,684.0,732.0,77.0,8.0,1.0,58.0,7.0,0.0,279.0,244.0,878.0,350.0,824.0,493.0
740,29.0,1.0,10.0,7.0,22.0,29.0,5.0,53.0,96.0,11.0,36.0,2.0,17.0,66.0,0.0,18.0,8.0,120.0,38.0,86.0,17.0
741,31.0,18.0,17.0,37.0,65.0,17.0,15.0,31.0,57.0,2.0,125.0,6.0,31.0,56.0,14.0,8.0,5.0,55.0,10.0,46.0,13.0
742,51.0,11.0,31.0,35.0,32.0,194.0,94.0,439.0,515.0,49.0,101.0,1.0,35.0,47.0,15.0,166.0,928.0,512.0,305.0,386.0,124.0
748,53.0,8.0,3.0,5.0,35.0,382.0,62.0,185.0,252.0,40.0,7.0,4.0,1.0,17.0,4.0,154.0,69.0,399.0,112.0,263.0,197.0
749,3.0,0.0,1.0,3.0,3.0,31.0,162.0,22.0,57.0,10.0,8.0,0.0,1.0,0.0,1.0,24.0,208.0,65.0,22.0,39.0,9.0
754,2.0,3.0,2.0,0.0,2.0,165.0,103.0,310.0,100.0,18.0,1.0,1.0,4.0,3.0,0.0,113.0,208.0,295.0,73.0,232.0,73.0
755,2.0,0.0,0.0,1.0,1.0,5.0,1.0,4.0,47.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,57.0,11.0,23.0,4.0
756,2847.0,454.0,803.0,629.0,960.0,1129.0,232.0,933.0,975.0,192.0,1118.0,126.0,999.0,645.0,356.0,492.0,527.0,1929.0,858.0,1603.0,770.0
760,852.0,136.0,1916.0,75.0,169.0,2053.0,10486.0,1800.0,1431.0,259.0,1347.0,214.0,3370.0,217.0,65.0,1198.0,666.0,2545.0,485.0,2692.0,326.0
77,19.0,73.0,73.0,3.0,10.0,188.0,1.0,99.0,146.0,47.0,54.0,33.0,91.0,9.0,4.0,134.0,21.0,72.0,78.0,140.0,24.0
772,17.0,54.0,7.0,7.0,8.0,7.0,20.0,12.0,24.0,5.0,7.0,18.0,7.0,12.0,2.0,9.0,2.0,8.0,7.0,12.0,9.0
775,2.0,6.0,2.0,2.0,4.0,359.0,35.0,225.0,349.0,83.0,4.0,1.0,5.0,5.0,0.0,130.0,13.0,305.0,138.0,277.0,179.0
778,192.0,20.0,62.0,38.0,96.0,509.0,39.0,296.0,399.0,76.0,328.0,6.0,169.0,202.0,20.0,200.0,117.0,558.0,259.0,411.0,97.0
78,0.0,0.0,2.0,1.0,0.0,17.0,0.0,7.0,25.0,3.0,4.0,1.0,0.0,1.0,0.0,5.0,0.0,5.0,22.0,24.0,8.0
782,2.0,0.0,1.0,1.0,2.0,416.0,198.0,532.0,231.0,91.0,0.0,3.0,1.0,3.0,0.0,176.0,80.0,635.0,79.0,521.0,93.0
783,446.0,2221.0,178.0,25.0,90.0,577.0,104.0,522.0,290.0,37.0,1264.0,441.0,390.0,189.0,34.0,448.0,79.0,713.0,213.0,627.0,130.0
784,4.0,21.0,4.0,0.0,0.0,269.0,8.0,363.0,154.0,38.0,12.0,15.0,2.0,1.0,1.0,282.0,4.0,296.0,71.0,369.0,51.0
789,2.0,0.0,0.0,0.0,2.0,95.0,7.0,124.0,141.0,14.0,5.0,4.0,1.0,3.0,0.0,61.0,9.0,330.0,48.0,218.0,108.0
790,36.0,24.0,20.0,13.0,27.0,74.0,38.0,124.0,135.0,14.0,41.0,3.0,23.0,44.0,10.0,38.0,18.0,123.0,62.0,85.0,62.0
791,29.0,81.0,14.0,37.0,34.0,50.0,23.0,24.0,91.0,9.0,38.0,21.0,79.0,38.0,18.0,24.0,22.0,73.0,18.0,87.0,46.0
795,48.0,10.0,157.0,147.0,57.0,11642.0,3072.0,13523.0,10151.0,1682.0,173.0,10.0,281.0,188.0,5.0,7369.0,5619.0,17928.0,3624.0,10784.0,2098.0
796,2.0,10.0,2.0,2.0,0.0,91.0,703.0,53.0,255.0,37.0,2.0,4.0,2.0,1.0,0.0,44.0,633.0,197.0,104.0,125.0,62.0
797,1.0,8.0,1.0,2.0,5.0,61.0,17.0,11.0,71.0,15.0,6.0,0.0,3.0,6.0,1.0,30.0,2.0,24.0,31.0,28.0,12.0
798,2.0,5.0,3.0,2.0,4.0,2699.0,147.0,648.0,1653.0,376.0,7.0,2.0,11.0,5.0,0.0,780.0,96.0,910.0,761.0,2392.0,285.0
800,3.0,0.0,2.0,1.0,3.0,5.0,3.0,4.0,19.0,2.0,2.0,1.0,1.0,1.0,0.0,7.0,2.0,10.0,9.0,11.0,2.0
801,30.0,2226.0,3.0,20.0,43.0,8.0,62.0,4.0,38.0,1.0,71.0,317.0,8.0,12.0,2.0,3.0,55.0,20.0,24.0,16.0,58.0
803,2.0,0.0,0.0,0.0,0.0,16.0,1.0,10.0,19.0,4.0,0.0,0.0,2.0,3.0,1.0,8.0,8.0,13.0,8.0,22.0,1.0
804,28.0,30.0,32.0,2.0,4.0,81.0,14.0,47.0,44.0,13.0,56.0,25.0,114.0,7.0,4.0,71.0,6.0,66.0,14.0,91.0,14.0
805,23.0,41.0,89.0,3.0,4.0,194.0,67.0,196.0,45.0,27.0,129.0,8.0,145.0,10.0,2.0,147.0,139.0,396.0,37.0,341.0,25.0
807,0.0,0.0,1.0,0.0,0.0,47.0,7.0,121.0,61.0,7.0,1.0,2.0,0.0,3.0,0.0,63.0,0.0,62.0,20.0,97.0,16.0
808,19.0,11.0,8.0,11.0,14.0,54.0,16.0,114.0,81.0,36.0,24.0,1.0,9.0,21.0,2.0,38.0,3.0,171.0,51.0,90.0,58.0
809,85.0,56.0,85.0,13.0,39.0,210.0,105.0,176.0,342.0,38.0,131.0,0.0,122.0,52.0,17.0,114.0,140.0,317.0,163.0,384.0,59.0
81,54.0,77.0,20.0,15.0,6.0,112.0,53.0,120.0,28.0,6.0,62.0,16.0,29.0,17.0,6.0,51.0,277.0,344.0,14.0,165.0,21.0
811,14.0,18.0,7.0,10.0,11.0,48.0,94.0,32.0,69.0,9.0,30.0,5.0,6.0,23.0,0.0,25.0,9.0,81.0,34.0,81.0,16.0
812,1.0,2.0,2.0,0.0,1.0,60.0,4.0,19.0,37.0,13.0,6.0,2.0,2.0,2.0,0.0,17.0,4.0,82.0,28.0,44.0,15.0
813,39.0,69.0,37.0,31.0,43.0,360.0,657.0,555.0,583.0,66.0,66.0,9.0,43.0,93.0,14.0,262.0,663.0,859.0,250.0,556.0,91.0
819,1.0,6.0,4.0,0.0,5.0,1175.0,368.0,1031.0,1173.0,81.0,6.0,3.0,9.0,3.0,0.0,1139.0,178.0,1229.0,626.0,1002.0,204.0
821,3.0,2.0,1.0,0.0,6.0,67.0,88.0,39.0,98.0,21.0,6.0,1.0,0.0,3.0,0.0,57.0,8.0,88.0,27.0,196.0,25.0
823,32.0,19.0,14.0,52.0,34.0,342.0,18.0,125.0,150.0,25.0,65.0,2.0,23.0,54.0,3.0,96.0,53.0,311.0,54.0,254.0,62.0
830,0.0,1.0,0.0,0.0,0.0,3.0,4.0,6.0,5.0,3.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,3.0,11.0,20.0,5.0
833,28.0,92.0,11.0,17.0,12.0,44.0,14.0,54.0,95.0,7.0,53.0,11.0,24.0,26.0,7.0,19.0,20.0,128.0,20.0,117.0,22.0
835,34.0,60.0,40.0,1.0,28.0,16.0,3.0,7.0,16.0,4.0,177.0,2.0,56.0,12.0,4.0,8.0,1.0,26.0,6.0,27.0,15.0
837,65.0,6.0,79.0,41.0,49.0,377.0,938.0,242.0,275.0,85.0,129.0,0.0,108.0,28.0,11.0,203.0,1696.0,664.0,110.0,418.0,83.0
838,29451.0,17049.0,35474.0,27036.0,25415.0,36913.0,3571.0,35512.0,27454.0,2666.0,117611.0,4794.0,60549.0,31664.0,5051.0,18176.0,8820.0,53976.0,11369.0,39937.0,10594.0
839,21.0,2.0,14.0,12.0,11.0,103.0,6.0,91.0,72.0,11.0,29.0,1.0,8.0,26.0,5.0,54.0,4.0,132.0,25.0,125.0,24.0
841,269.0,21521.0,91.0,43.0,312.0,114.0,55.0,41.0,481.0,19.0,560.0,15442.0,132.0,199.0,58.0,48.0,84.0,64.0,244.0,161.0,321.0
842,465.0,2619.0,530.0,354.0,448.0,944.0,100.0,398.0,397.0,128.0,1139.0,4412.0,1111.0,304.0,128.0,390.0,141.0,607.0,200.0,735.0,475.0
843,8.0,80.0,10.0,3.0,2.0,718.0,5826.0,554.0,1297.0,156.0,20.0,90.0,11.0,14.0,3.0,308.0,2533.0,1045.0,620.0,723.0,611.0
848,7.0,17.0,37.0,0.0,6.0,68.0,4.0,67.0,47.0,23.0,6.0,1.0,20.0,5.0,1.0,14.0,9.0,54.0,16.0,85.0,24.0
850,12.0,16.0,9.0,2.0,15.0,769.0,1080.0,601.0,1410.0,94.0,11.0,20.0,8.0,11.0,3.0,338.0,1141.0,995.0,560.0,600.0,199.0
853,935.0,2014.0,582.0,491.0,778.0,1096.0,1141.0,573.0,1442.0,155.0,4299.0,278.0,807.0,551.0,105.0,352.0,2811.0,1719.0,250.0,1204.0,864.0
854,0.0,13.0,1.0,0.0,0.0,183.0,399.0,195.0,95.0,14.0,2.0,6.0,8.0,0.0,0.0,128.0,2406.0,619.0,72.0,340.0,107.0
857,1.0,7.0,26.0,2.0,3.0,4482.0,1580.0,5599.0,7304.0,634.0,13.0,8.0,29.0,7.0,1.0,2292.0,160.0,9677.0,3301.0,9441.0,1815.0
859,176.0,45.0,113.0,93.0,25.0,168.0,69.0,73.0,128.0,10.0,171.0,12.0,102.0,56.0,12.0,83.0,10.0,89.0,72.0,185.0,43.0
860,36.0,41.0,18.0,35.0,38.0,305.0,35.0,155.0,310.0,42.0,61.0,24.0,23.0,57.0,22.0,125.0,122.0,316.0,79.0,284.0,86.0
862,69.0,10.0,38.0,53.0,49.0,99.0,20.0,99.0,269.0,19.0,110.0,14.0,62.0,102.0,12.0,31.0,21.0,197.0,57.0,182.0,68.0
868,7.0,11.0,33.0,1.0,26.0,67.0,77.0,111.0,157.0,24.0,31.0,9.0,74.0,3.0,1.0,29.0,10.0,169.0,41.0,152.0,77.0
869,178.0,23.0,71.0,8.0,50.0,114.0,8.0,69.0,45.0,6.0,364.0,62.0,162.0,13.0,24.0,50.0,63.0,46.0,28.0,57.0,15.0
87,5.0,37.0,2.0,3.0,11.0,328.0,3.0,1429.0,1506.0,1275.0,5.0,2.0,152.0,7.0,2.0,72.0,0.0,1242.0,108.0,121.0,582.0
870,4.0,3.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,1.0,0.0,9.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,2.0,0.0
871,2.0,2.0,0.0,0.0,0.0,0.0,6.0,3.0,5.0,4.0,4.0,6.0,3.0,0.0,0.0,1.0,3.0,2.0,1.0,9.0,2.0
879,2.0,1.0,2.0,0.0,0.0,111.0,163.0,40.0,39.0,11.0,0.0,0.0,0.0,0.0,0.0,37.0,16.0,72.0,33.0,144.0,31.0
880,0.0,1.0,1.0,0.0,1.0,3.0,9.0,0.0,10.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,5.0,5.0,6.0,6.0,3.0
882,1.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,17.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,12.0,1.0,5.0,10.0,3.0
887,0.0,0.0,1.0,1.0,0.0,16.0,3.0,13.0,46.0,6.0,0.0,1.0,2.0,1.0,0.0,7.0,26.0,11.0,30.0,18.0,14.0
888,42.0,16.0,31.0,105.0,91.0,121.0,6.0,44.0,103.0,12.0,207.0,29.0,75.0,23.0,8.0,60.0,6.0,83.0,40.0,69.0,24.0
89,343.0,681.0,14.0,97.0,202.0,353.0,1207.0,140.0,252.0,60.0,799.0,472.0,64.0,217.0,41.0,169.0,2840.0,816.0,171.0,376.0,276.0
892,0.0,2.0,0.0,0.0,2.0,7.0,4.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,4.0,1.0,5.0,3.0
897,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,4.0,2.0,1.0
904,2.0,0.0,0.0,0.0,0.0,30.0,0.0,73.0,12.0,9.0,1.0,3.0,0.0,3.0,0.0,16.0,6.0,24.0,4.0,83.0,7.0
91,195.0,169.0,93.0,8.0,155.0,54.0,235.0,43.0,88.0,28.0,298.0,41.0,160.0,82.0,62.0,43.0,325.0,258.0,35.0,54.0,18.0
911,227.0,359.0,447.0,101.0,128.0,778.0,601.0,892.0,340.0,73.0,465.0,161.0,743.0,53.0,18.0,478.0,661.0,1301.0,118.0,758.0,261.0
916,84.0,179.0,51.0,26.0,82.0,89.0,45.0,69.0,145.0,27.0,166.0,15.0,130.0,96.0,21.0,49.0,24.0,126.0,47.0,176.0,22.0
923,2.0,5.0,3.0,2.0,1.0,137.0,61.0,96.0,123.0,21.0,0.0,5.0,1.0,1.0,0.0,73.0,26.0,136.0,57.0,98.0,91.0
924,2.0,8.0,0.0,3.0,3.0,11.0,3.0,15.0,8.0,5.0,3.0,8.0,0.0,2.0,0.0,7.0,2.0,5.0,6.0,39.0,5.0
930,5.0,5.0,0.0,0.0,3.0,64.0,12.0,49.0,55.0,20.0,2.0,0.0,1.0,0.0,0.0,21.0,2.0,51.0,20.0,61.0,13.0
931,19.0,6.0,48.0,5.0,14.0,179.0,0.0,322.0,105.0,30.0,64.0,1.0,141.0,7.0,3.0,70.0,61.0,263.0,53.0,194.0,44.0
933,4.0,5.0,0.0,4.0,7.0,12.0,5.0,14.0,36.0,4.0,3.0,2.0,0.0,1.0,2.0,7.0,11.0,11.0,11.0,35.0,9.0
936,80.0,80.0,53.0,49.0,17.0,99.0,18.0,70.0,168.0,35.0,98.0,13.0,87.0,19.0,4.0,72.0,20.0,153.0,60.0,134.0,33.0
937,3.0,0.0,0.0,0.0,1.0,67.0,4.0,14.0,46.0,2.0,3.0,0.0,2.0,1.0,0.0,13.0,7.0,10.0,16.0,74.0,3.0
939,125.0,50.0,102.0,146.0,76.0,372.0,14.0,180.0,181.0,58.0,367.0,18.0,226.0,134.0,20.0,142.0,38.0,180.0,94.0,246.0,62.0
94,309.0,1239.0,82.0,66.0,36.0,206.0,97.0,104.0,134.0,17.0,584.0,151.0,118.0,42.0,27.0,130.0,16.0,90.0,59.0,212.0,40.0
941,3.0,1.0,2.0,4.0,1.0,11.0,13.0,14.0,15.0,2.0,7.0,0.0,3.0,1.0,0.0,12.0,4.0,11.0,7.0,37.0,2.0
942,8.0,0.0,13.0,2.0,6.0,16.0,5.0,51.0,106.0,15.0,16.0,0.0,41.0,6.0,0.0,28.0,0.0,58.0,23.0,74.0,22.0
943,20.0,27.0,1.0,1.0,11.0,4.0,4.0,5.0,4.0,0.0,7.0,7.0,2.0,6.0,2.0,2.0,49.0,15.0,6.0,14.0,2.0
945,0.0,2.0,2.0,1.0,0.0,7.0,13.0,3.0,15.0,3.0,3.0,6.0,0.0,1.0,0.0,1.0,3.0,16.0,10.0,16.0,1.0
946,0.0,1.0,0.0,0.0,0.0,62.0,23.0,31.0,83.0,4.0,0.0,4.0,3.0,0.0,0.0,33.0,9.0,35.0,25.0,57.0,15.0
953,14.0,5.0,84.0,1.0,1.0,73.0,5.0,74.0,54.0,8.0,10.0,0.0,108.0,9.0,2.0,30.0,98.0,82.0,21.0,97.0,33.0
957,133.0,124.0,45.0,5.0,36.0,135.0,15.0,106.0,112.0,21.0,170.0,13.0,108.0,41.0,9.0,39.0,12.0,282.0,26.0,116.0,24.0
959,11.0,16.0,18.0,3.0,7.0,3934.0,9451.0,1872.0,14739.0,701.0,48.0,5.0,32.0,13.0,1.0,2545.0,4369.0,3648.0,8370.0,7672.0,1883.0
960,272.0,17.0,333.0,96.0,122.0,739.0,233.0,465.0,559.0,121.0,487.0,0.0,765.0,102.0,7.0,197.0,237.0,655.0,205.0,638.0,84.0
962,2.0,2.0,0.0,5.0,2.0,20.0,11.0,4.0,65.0,10.0,5.0,3.0,0.0,0.0,3.0,35.0,1.0,5.0,36.0,26.0,11.0
966,1.0,0.0,1.0,0.0,2.0,37.0,59.0,25.0,54.0,21.0,3.0,1.0,1.0,1.0,0.0,17.0,267.0,163.0,25.0,53.0,10.0
967,21.0,24.0,157.0,5.0,18.0,243.0,269.0,256.0,403.0,55.0,22.0,10.0,180.0,48.0,6.0,145.0,847.0,625.0,103.0,321.0,86.0
972,216.0,2437.0,21.0,190.0,390.0,23.0,25.0,9.0,22.0,5.0,272.0,1652.0,27.0,187.0,122.0,14.0,307.0,73.0,14.0,24.0,8.0
973,0.0,4.0,2.0,0.0,0.0,77.0,15.0,122.0,98.0,24.0,1.0,10.0,11.0,0.0,0.0,33.0,93.0,257.0,43.0,97.0,23.0
976,2.0,15.0,1.0,1.0,1.0,52.0,22.0,29.0,30.0,17.0,1.0,2.0,0.0,0.0,0.0,31.0,3.0,38.0,3.0,60.0,11.0
980,2.0,31.0,2.0,1.0,1.0,34.0,10.0,1.0,49.0,3.0,4.0,16.0,2.0,1.0,1.0,7.0,23.0,41.0,43.0,32.0,12.0
983,28.0,267.0,8.0,4.0,42.0,9.0,9.0,5.0,9.0,2.0,92.0,75.0,7.0,13.0,12.0,12.0,5.0,3.0,7.0,14.0,13.0
984,7.0,15.0,2.0,3.0,5.0,357.0,5.0,259.0,336.0,102.0,3.0,1.0,14.0,6.0,0.0,169.0,19.0,502.0,108.0,265.0,48.0
985,1.0,0.0,0.0,1.0,0.0,10.0,11.0,2.0,47.0,1.0,1.0,3.0,1.0,3.0,0.0,6.0,10.0,15.0,9.0,23.0,2.0
987,23.0,14.0,81.0,19.0,8.0,121.0,15.0,86.0,130.0,30.0,112.0,8.0,149.0,8.0,1.0,74.0,204.0,166.0,47.0,124.0,36.0
99,41.0,25.0,49.0,3.0,7.0,145.0,209.0,218.0,178.0,44.0,85.0,5.0,143.0,8.0,3.0,56.0,415.0,268.0,76.0,231.0,44.0
991,3.0,0.0,1.0,2.0,1.0,336.0,10445.0,164.0,520.0,61.0,2.0,1.0,1.0,2.0,2.0,199.0,112.0,338.0,160.0,397.0,69.0
992,3.0,1.0,2.0,0.0,3.0,207.0,38.0,93.0,231.0,49.0,1.0,0.0,2.0,3.0,0.0,161.0,45.0,138.0,129.0,237.0,36.0
996,221.0,157.0,8.0,117.0,58.0,85.0,388.0,45.0,177.0,6.0,447.0,62.0,21.0,89.0,6.0,48.0,862.0,226.0,110.0,149.0,86.0
998,3.0,4.0,0.0,0.0,1.0,227.0,240.0,204.0,56.0,10.0,4.0,2.0,1.0,0.0,0.0,78.0,132.0,264.0,28.0,138.0,23.0
999,27.0,131.0,0.0,2.0,13.0,5.0,3.0,2.0,18.0,0.0,18.0,49.0,5.0,14.0,6.0,2.0,12.0,4.0,6.0,4.0,6.0
1052,0.0,16.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,10.0,1.0,2.0,0.0,0.0,3.0,1.0,1.0,5.0,1.0
17_2,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
217,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
22,1.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,1.0,4.0,0.0
292,2.0,3.0,0.0,1.0,3.0,1.0,4.0,2.0,4.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,3.0,2.0,5.0,0.0
387,6.0,4.0,0.0,0.0,3.0,4.0,1.0,2.0,4.0,1.0,9.0,0.0,1.0,4.0,0.0,3.0,0.0,3.0,3.0,1.0,1.0
411,12.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0
44,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0
501,2.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
506,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
59,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
607,1.0,1.0,0.0,0.0,0.0,10.0,2.0,6.0,11.0,2.0,2.0,0.0,1.0,1.0,0.0,7.0,3.0,11.0,2.0,14.0,3.0
643,2.0,1.0,0.0,7.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,5.0,3.0
753,15.0,6.0,1.0,3.0,5.0,12.0,6.0,13.0,18.0,5.0,2.0,5.0,2.0,3.0,0.0,6.0,11.0,30.0,26.0,32.0,10.0
79,17.0,1.0,0.0,3.0,4.0,13.0,3.0,4.0,16.0,3.0,40.0,1.0,1.0,0.0,1.0,6.0,148.0,39.0,9.0,2.0,3.0
917,0.0,0.0,0.0,0.0,1.0,5.0,1.0,2.0,24.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,7.0,4.0,5.0,2.0
956,20.0,4.0,0.0,3.0,11.0,33.0,9.0,28.0,30.0,8.0,5.0,3.0,1.0,0.0,1.0,8.0,18.0,46.0,22.0,24.0,10.0
