strain_id,A_MTX_5-FC.ERV25_EMP47,A_MTX_Fluconazole.ERV25_EMP47,A_MTX_Metformin.ERV25_EMP47,A_MTX_Trifluoperazine.ERV25_EMP47,A_MTX_noDrug.ERV25_EMP47,A_noMTX_5-FC.ERV25_EMP47,A_noMTX_Fluconazole.ERV25_EMP47,A_noMTX_Metformin.ERV25_EMP47,A_noMTX_Trifluoperazine.ERV25_EMP47,A_noMTX_noDrug.ERV25_EMP47,B_MTX_5-FC.ERV25_EMP47,B_MTX_Fluconazole.ERV25_EMP47,B_MTX_Metformin.ERV25_EMP47,B_MTX_Trifluoperazine.ERV25_EMP47,B_MTX_noDrug.ERV25_EMP47,B_noMTX_5-FC.ERV25_EMP47,B_noMTX_Fluconazole.ERV25_EMP47,B_noMTX_Metformin.ERV25_EMP47,B_noMTX_Trifluoperazine.ERV25_EMP47,B_noMTX_noDrug.ERV25_EMP47,T0_noMTX_noDrug.ERV25_EMP47
991,9.0,6.0,9.0,42.0,8.0,252.0,19.0,631.0,505.0,1463.0,4.0,2.0,13.0,12.0,9.0,2493,93.0,160.0,94.0,313.0,64.0
992,1.0,1.0,6.0,26.0,2.0,435.0,258.0,859.0,642.0,2329.0,0.0,1.0,24.0,3.0,1.0,5592,781.0,282.0,127.0,419.0,143.0
996,12.0,24.0,7.0,4.0,14.0,11.0,18.0,2.0,6.0,9.0,8.0,2.0,5.0,14.0,17.0,27,3.0,4.0,7.0,6.0,4.0
998,0.0,6.0,0.0,1.0,2.0,2.0,2.0,6.0,4.0,13.0,3.0,2.0,2.0,0.0,0.0,28,3.0,1.0,3.0,0.0,0.0
999,35.0,58.0,5.0,418.0,65.0,1.0,1.0,3.0,9.0,19.0,97.0,3.0,53.0,234.0,97.0,44,2.0,1.0,2.0,2.0,14.0
1052,0.0,55.0,1.0,3.0,2.0,0.0,2.0,0.0,4.0,10.0,0.0,28.0,0.0,2.0,0.0,19,1.0,2.0,0.0,0.0,0.0
17_2,1.0,0.0,1.0,8.0,1.0,0.0,3.0,1.0,10.0,3.0,0.0,0.0,0.0,2.0,0.0,8,3.0,3.0,1.0,2.0,1.0
217,0.0,2.0,1.0,4.0,1.0,0.0,0.0,1.0,9.0,7.0,0.0,0.0,1.0,0.0,0.0,10,1.0,0.0,0.0,0.0,0.0
22,0.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,4.0,7.0,0.0,1.0,4.0,0.0,2.0,21,2.0,2.0,3.0,0.0,2.0
292,4.0,3.0,3.0,1.0,1.0,0.0,0.0,3.0,3.0,6.0,3.0,0.0,13.0,3.0,1.0,14,1.0,1.0,2.0,1.0,0.0
387,7.0,17.0,3.0,19.0,6.0,0.0,5.0,2.0,2.0,9.0,3.0,1.0,4.0,1.0,4.0,14,2.0,1.0,2.0,3.0,0.0
411,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,16,0.0,0.0,2.0,2.0,0.0
44,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,6.0,4.0,1.0,0.0,1.0,0.0,1.0,16,0.0,0.0,2.0,0.0,0.0
501,3.0,0.0,0.0,8.0,1.0,2.0,3.0,0.0,2.0,3.0,0.0,0.0,1.0,2.0,5.0,9,0.0,1.0,0.0,1.0,1.0
506,6.0,7.0,1.0,74.0,2.0,0.0,0.0,1.0,6.0,11.0,0.0,2.0,2.0,4.0,3.0,24,5.0,0.0,2.0,3.0,1.0
59,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,16.0,20.0,0.0,0.0,0.0,0.0,0.0,28,0.0,1.0,1.0,2.0,0.0
607,3.0,0.0,0.0,2.0,1.0,1.0,44.0,5.0,3.0,23.0,6.0,0.0,4.0,11.0,1.0,43,2.0,4.0,3.0,2.0,1.0
643,3.0,15.0,5.0,155.0,4.0,1.0,5.0,3.0,18.0,24.0,3.0,1.0,6.0,6.0,3.0,47,10.0,1.0,3.0,1.0,1.0
753,2.0,26.0,2.0,16.0,3.0,0.0,5.0,3.0,33.0,60.0,0.0,19.0,3.0,2.0,7.0,166,3.0,1.0,9.0,3.0,4.0
79,1.0,1.0,2.0,4.0,1.0,0.0,3.0,3.0,1.0,7.0,1.0,0.0,1.0,2.0,5.0,20,0.0,1.0,0.0,3.0,1.0
917,0.0,12.0,2.0,3.0,1.0,1.0,3.0,6.0,9.0,24.0,0.0,0.0,1.0,0.0,4.0,62,0.0,1.0,3.0,1.0,2.0
956,2.0,88.0,1.0,21.0,5.0,32.0,4.0,64.0,32.0,249.0,0.0,2.0,1.0,5.0,8.0,176,1.0,6.0,2.0,28.0,11.0
454,1.0,3.0,0.0,3.0,0.0,2.0,2.0,4.0,7.0,14.0,1.0,0.0,3.0,1.0,0.0,40,2.0,2.0,2.0,3.0,2.0
932,5.0,5.0,2.0,18.0,4.0,4.0,1.0,6.0,10.0,12.0,3.0,0.0,8.0,5.0,3.0,21,8.0,3.0,3.0,5.0,0.0
