strain_id,A_MTX_5-FC.ERV25_EMP47,A_MTX_Fluconazole.ERV25_EMP47,A_MTX_Metformin.ERV25_EMP47,A_MTX_Trifluoperazine.ERV25_EMP47,A_MTX_noDrug.ERV25_EMP47,A_noMTX_5-FC.ERV25_EMP47,A_noMTX_Fluconazole.ERV25_EMP47,A_noMTX_Metformin.ERV25_EMP47,A_noMTX_Trifluoperazine.ERV25_EMP47,A_noMTX_noDrug.ERV25_EMP47,B_MTX_5-FC.ERV25_EMP47,B_MTX_Fluconazole.ERV25_EMP47,B_MTX_Metformin.ERV25_EMP47,B_MTX_Trifluoperazine.ERV25_EMP47,B_MTX_noDrug.ERV25_EMP47,B_noMTX_5-FC.ERV25_EMP47,B_noMTX_Fluconazole.ERV25_EMP47,B_noMTX_Metformin.ERV25_EMP47,B_noMTX_Trifluoperazine.ERV25_EMP47,B_noMTX_noDrug.ERV25_EMP47,T0_noMTX_noDrug.ERV25_EMP47
775,7.0,2.0,21.0,4.0,3.0,759.0,189.0,1588.0,1876.0,3371.0,48.0,9.0,55.0,7.0,18.0,5712,325.0,440.0,522.0,674.0,475.0
778,129.0,6.0,130.0,288.0,89.0,270.0,44.0,203.0,283.0,1200.0,187.0,7.0,228.0,323.0,145.0,4913,24.0,87.0,94.0,248.0,157.0
78,2.0,0.0,3.0,2.0,3.0,52.0,3.0,48.0,40.0,315.0,0.0,0.0,8.0,0.0,8.0,1070,24.0,12.0,17.0,100.0,29.0
782,6.0,1.0,16.0,1.0,1.0,223.0,48.0,693.0,174.0,830.0,1.0,0.0,9.0,1.0,2.0,2043,668.0,193.0,51.0,160.0,111.0
783,74.0,246.0,29.0,19.0,33.0,37.0,9.0,20.0,42.0,337.0,44.0,35.0,26.0,57.0,122.0,1540,7.0,15.0,29.0,74.0,29.0
784,1.0,67.0,5.0,40.0,3.0,5.0,6.0,8.0,27.0,94.0,0.0,49.0,6.0,4.0,4.0,204,18.0,3.0,3.0,9.0,5.0
789,6.0,6.0,6.0,0.0,0.0,5.0,4.0,21.0,75.0,121.0,3.0,3.0,10.0,2.0,2.0,338,15.0,10.0,12.0,8.0,48.0
790,57.0,28.0,39.0,248.0,36.0,51.0,30.0,80.0,117.0,92.0,29.0,3.0,77.0,55.0,103.0,318,13.0,50.0,51.0,51.0,24.0
791,57.0,136.0,26.0,1434.0,63.0,136.0,21.0,129.0,198.0,813.0,20.0,50.0,48.0,101.0,85.0,3095,284.0,61.0,35.0,196.0,117.0
795,220.0,12.0,673.0,104.0,37.0,1886.0,2449.0,7266.0,6739.0,8303.0,58.0,6.0,857.0,166.0,206.0,17785,9761.0,2797.0,1554.0,1384.0,512.0
796,2.0,20.0,10.0,8.0,1.0,528.0,1416.0,1129.0,1046.0,4966.0,8.0,25.0,27.0,1.0,8.0,5310,3236.0,276.0,266.0,1054.0,613.0
797,10.0,13.0,10.0,16.0,15.0,75.0,129.0,151.0,417.0,394.0,2.0,10.0,8.0,9.0,11.0,539,38.0,58.0,80.0,51.0,44.0
798,10.0,6.0,59.0,5.0,0.0,4326.0,51227.0,8459.0,5313.0,25275.0,3.0,11.0,70.0,2.0,5.0,39544,1547.0,2707.0,1335.0,3835.0,1059.0
