strain_id,A_MTX_5-FC.ALO1_HYR1,A_MTX_Fluconazole.ALO1_HYR1,A_MTX_Metformin.ALO1_HYR1,A_MTX_Trifluoperazine.ALO1_HYR1,A_MTX_noDrug.ALO1_HYR1,A_noMTX_5-FC.ALO1_HYR1,A_noMTX_Fluconazole.ALO1_HYR1,A_noMTX_Metformin.ALO1_HYR1,A_noMTX_Trifluoperazine.ALO1_HYR1,A_noMTX_noDrug.ALO1_HYR1,B_MTX_5-FC.ALO1_HYR1,B_MTX_Fluconazole.ALO1_HYR1,B_MTX_Metformin.ALO1_HYR1,B_MTX_Trifluoperazine.ALO1_HYR1,B_MTX_noDrug.ALO1_HYR1,B_noMTX_5-FC.ALO1_HYR1,B_noMTX_Fluconazole.ALO1_HYR1,B_noMTX_Metformin.ALO1_HYR1,B_noMTX_Trifluoperazine.ALO1_HYR1,B_noMTX_noDrug.ALO1_HYR1,T0_noMTX_noDrug.ALO1_HYR1
557,2.0,0.0,7.0,1.0,6.0,34.0,8.0,93.0,61.0,11.0,12.0,4.0,10.0,6.0,4.0,25.0,0.0,7.0,51,54.0,5.0
559,1.0,2.0,18.0,26.0,6.0,3.0,6.0,16.0,26.0,4.0,7.0,6.0,12.0,4.0,9.0,8.0,5.0,8.0,40,18.0,3.0
564,5.0,14.0,21.0,26.0,4.0,9.0,20.0,11.0,32.0,4.0,17.0,13.0,17.0,18.0,23.0,14.0,11.0,17.0,62,16.0,5.0
567,92.0,0.0,918.0,179.0,53.0,191.0,19.0,112.0,154.0,46.0,364.0,13.0,720.0,71.0,66.0,117.0,30.0,304.0,253,355.0,28.0
57,1.0,0.0,6.0,2.0,0.0,69.0,19.0,8.0,28.0,2.0,2.0,0.0,2.0,3.0,1.0,29.0,6.0,29.0,26,44.0,5.0
571,5.0,9.0,24.0,17.0,14.0,9.0,10.0,6.0,9.0,4.0,20.0,16.0,19.0,17.0,18.0,5.0,7.0,10.0,6,12.0,3.0
574,0.0,2.0,6.0,1.0,0.0,260.0,17.0,143.0,116.0,21.0,2.0,0.0,6.0,0.0,2.0,75.0,49.0,287.0,178,262.0,50.0
576,2.0,49.0,2.0,49.0,11.0,43.0,355.0,32.0,25.0,7.0,6.0,59.0,6.0,1.0,5.0,15.0,581.0,62.0,62,72.0,6.0
578,2122.0,19892.0,6692.0,4947.0,3641.0,846.0,3771.0,710.0,1502.0,226.0,5011.0,19905.0,5480.0,5361.0,8073.0,186.0,4117.0,1241.0,3245,2071.0,133.0
58,0.0,0.0,5.0,1.0,0.0,2.0,3.0,5.0,5.0,0.0,2.0,0.0,1.0,4.0,2.0,1.0,5.0,5.0,4,5.0,9.0
581,0.0,7.0,7.0,10.0,2.0,228.0,8.0,132.0,255.0,21.0,0.0,1.0,7.0,0.0,2.0,46.0,28.0,271.0,286,93.0,108.0
586,12.0,17.0,52.0,39.0,7.0,368.0,83.0,154.0,238.0,29.0,27.0,28.0,27.0,14.0,16.0,143.0,18.0,308.0,353,321.0,75.0
588,3.0,1.0,23.0,7.0,4.0,16.0,9.0,25.0,59.0,1.0,6.0,0.0,15.0,6.0,4.0,25.0,2.0,23.0,90,6.0,1.0
589,0.0,5.0,14.0,3.0,2.0,414.0,529.0,327.0,277.0,121.0,6.0,11.0,10.0,5.0,8.0,261.0,435.0,896.0,660,641.0,72.0
590,2.0,2.0,12.0,1.0,2.0,7.0,11.0,27.0,25.0,4.0,7.0,0.0,6.0,6.0,5.0,17.0,9.0,14.0,33,12.0,5.0
596,0.0,0.0,7.0,4.0,3.0,22.0,17.0,38.0,74.0,15.0,4.0,0.0,2.0,3.0,3.0,26.0,27.0,29.0,135,40.0,6.0
598,20.0,35.0,35.0,26.0,24.0,19.0,14.0,24.0,19.0,6.0,68.0,188.0,21.0,77.0,108.0,21.0,13.0,31.0,21,8.0,7.0
599,41.0,0.0,84.0,62.0,56.0,32.0,9.0,46.0,22.0,9.0,118.0,1.0,58.0,85.0,90.0,42.0,7.0,20.0,37,37.0,7.0
599_ref1,224.0,1.0,124.0,8.0,0.0,571.0,0.0,28.0,53.0,5.0,331.0,2.0,5.0,3.0,7.0,243.0,7.0,65.0,80,40.0,709.0
599_ref2,113.0,0.0,31.0,1.0,0.0,511.0,2.0,27.0,78.0,2.0,462.0,0.0,18.0,2.0,2.0,265.0,71.0,34.0,114,46.0,602.0
6,1.0,5.0,12.0,4.0,4.0,3.0,22.0,16.0,46.0,1.0,8.0,11.0,13.0,6.0,3.0,11.0,19.0,16.0,85,9.0,4.0
60,336.0,1.0,1781.0,254.0,29.0,1087.0,68.0,695.0,776.0,85.0,1436.0,1.0,1165.0,420.0,133.0,223.0,276.0,706.0,2220,737.0,85.0
61,1.0,0.0,4.0,0.0,1.0,2.0,2.0,5.0,5.0,0.0,2.0,0.0,3.0,0.0,2.0,1.0,5.0,6.0,10,0.0,0.0
611,2.0,36.0,6.0,0.0,0.0,17.0,22.0,22.0,17.0,3.0,6.0,20.0,6.0,0.0,5.0,8.0,14.0,14.0,19,13.0,7.0
616,530.0,43.0,1068.0,516.0,572.0,376.0,26.0,294.0,421.0,40.0,1996.0,40.0,1042.0,395.0,232.0,85.0,68.0,403.0,1038,472.0,84.0
619,4.0,1.0,12.0,0.0,0.0,4.0,2.0,15.0,9.0,3.0,10.0,12.0,1.0,5.0,8.0,7.0,1.0,10.0,19,5.0,1.0
622,6.0,0.0,16.0,2.0,5.0,37.0,3.0,50.0,31.0,7.0,11.0,1.0,11.0,11.0,5.0,45.0,2.0,27.0,37,36.0,7.0
627,2.0,0.0,8.0,7.0,3.0,228.0,61.0,79.0,249.0,20.0,9.0,0.0,10.0,6.0,5.0,50.0,16.0,158.0,295,222.0,79.0
631,487.0,44.0,3421.0,93.0,141.0,1278.0,35.0,497.0,772.0,152.0,1570.0,40.0,3420.0,103.0,211.0,532.0,145.0,2033.0,1270,1571.0,65.0
632,39.0,9.0,174.0,117.0,47.0,38.0,43.0,90.0,150.0,15.0,95.0,1.0,130.0,75.0,69.0,39.0,39.0,60.0,295,50.0,9.0
636,0.0,0.0,15.0,8.0,0.0,15.0,6.0,19.0,46.0,7.0,4.0,0.0,11.0,16.0,1.0,13.0,14.0,16.0,84,12.0,2.0
638,534.0,53.0,368.0,284.0,206.0,90.0,98.0,38.0,40.0,13.0,1005.0,124.0,152.0,76.0,211.0,29.0,81.0,45.0,14,57.0,32.0
639,612.0,3225.0,282.0,114.0,346.0,432.0,665.0,49.0,312.0,25.0,2755.0,817.0,398.0,101.0,750.0,52.0,1057.0,123.0,334,223.0,53.0
64,100.0,18.0,1934.0,275.0,80.0,891.0,777.0,1307.0,1849.0,374.0,398.0,22.0,1543.0,258.0,217.0,346.0,1665.0,2577.0,4078,2229.0,149.0
640,4.0,2.0,13.0,7.0,8.0,5.0,7.0,9.0,7.0,3.0,19.0,7.0,14.0,4.0,6.0,16.0,6.0,11.0,9,6.0,3.0
642,68.0,65.0,113.0,394.0,176.0,27.0,20.0,31.0,45.0,16.0,215.0,17.0,101.0,134.0,186.0,31.0,119.0,52.0,90,34.0,12.0
648,5.0,5.0,9.0,2.0,10.0,9.0,5.0,8.0,14.0,4.0,24.0,4.0,9.0,4.0,14.0,7.0,4.0,4.0,25,4.0,5.0
649,337.0,8.0,1207.0,604.0,436.0,418.0,66.0,137.0,382.0,45.0,976.0,4.0,726.0,617.0,1387.0,84.0,7.0,204.0,805,212.0,51.0
65,0.0,5.0,3.0,6.0,4.0,3.0,6.0,2.0,10.0,1.0,9.0,5.0,6.0,6.0,5.0,2.0,1.0,2.0,12,4.0,0.0
651,146.0,5.0,595.0,243.0,145.0,287.0,7.0,194.0,294.0,32.0,330.0,5.0,908.0,179.0,78.0,65.0,25.0,239.0,595,317.0,69.0
652,1818.0,6.0,7179.0,664.0,369.0,1832.0,554.0,955.0,1873.0,144.0,4064.0,27.0,5886.0,609.0,607.0,445.0,342.0,1793.0,4234,1315.0,507.0
653,13.0,80.0,29.0,13.0,15.0,26.0,29.0,45.0,130.0,15.0,43.0,26.0,21.0,24.0,16.0,27.0,26.0,45.0,253,24.0,10.0
657,22.0,34.0,105.0,22.0,30.0,46.0,20.0,90.0,116.0,24.0,57.0,13.0,48.0,27.0,45.0,44.0,24.0,64.0,213,67.0,18.0
658,6.0,1.0,10.0,17.0,34.0,5.0,1.0,8.0,2.0,4.0,20.0,1.0,21.0,28.0,59.0,4.0,0.0,4.0,8,6.0,1.0
66,0.0,0.0,1.0,0.0,0.0,57.0,228.0,31.0,73.0,4.0,2.0,1.0,0.0,0.0,2.0,8.0,66.0,53.0,187,105.0,59.0
660,7.0,4.0,28.0,14.0,17.0,7.0,6.0,19.0,16.0,2.0,43.0,5.0,34.0,21.0,41.0,13.0,6.0,16.0,25,8.0,6.0
666,253.0,357.0,249.0,107.0,512.0,171.0,23.0,73.0,251.0,16.0,1954.0,812.0,195.0,85.0,497.0,30.0,8.0,46.0,312,129.0,46.0
667,12.0,53.0,35.0,22.0,27.0,15.0,11.0,16.0,48.0,8.0,32.0,27.0,24.0,49.0,18.0,15.0,22.0,13.0,86,26.0,2.0
668,11.0,18.0,28.0,48.0,55.0,6.0,5.0,15.0,37.0,6.0,44.0,9.0,17.0,24.0,22.0,15.0,7.0,9.0,42,18.0,9.0
673,4979.0,198.0,45986.0,4364.0,1716.0,15174.0,526.0,10192.0,9359.0,1786.0,12625.0,242.0,33345.0,4770.0,3521.0,9193.0,1042.0,21820.0,17164,7461.0,1870.0
674,219.0,1575.0,7235.0,1178.0,204.0,1093.0,210.0,856.0,1462.0,390.0,459.0,1657.0,6314.0,1404.0,889.0,514.0,9804.0,2582.0,3334,975.0,262.0
676,418.0,366.0,2563.0,394.0,559.0,381.0,230.0,351.0,585.0,110.0,1301.0,121.0,1528.0,342.0,342.0,194.0,144.0,713.0,1152,855.0,49.0
677,1.0,0.0,7.0,0.0,0.0,7.0,9.0,11.0,17.0,5.0,2.0,0.0,6.0,2.0,3.0,6.0,15.0,10.0,34,12.0,5.0
683,1.0,4.0,17.0,4.0,1.0,698.0,58.0,457.0,1185.0,88.0,0.0,0.0,4.0,3.0,2.0,235.0,351.0,970.0,2069,727.0,257.0
685,1.0,4.0,19.0,4.0,7.0,16.0,65.0,26.0,52.0,7.0,10.0,5.0,13.0,3.0,2.0,25.0,28.0,26.0,62,19.0,10.0
689,4.0,184.0,18.0,14.0,21.0,3.0,2.0,4.0,25.0,0.0,33.0,55.0,17.0,22.0,25.0,7.0,6.0,11.0,47,4.0,6.0
690,2.0,19.0,6.0,3.0,5.0,6.0,9.0,15.0,69.0,7.0,12.0,13.0,10.0,2.0,1.0,20.0,9.0,10.0,113,14.0,5.0
692,0.0,0.0,8.0,0.0,1.0,99.0,24.0,90.0,104.0,12.0,1.0,0.0,7.0,1.0,0.0,21.0,13.0,93.0,277,101.0,32.0
693,4.0,14.0,53.0,98.0,6.0,10.0,11.0,16.0,42.0,4.0,27.0,3.0,35.0,28.0,27.0,17.0,29.0,20.0,76,15.0,6.0
695,625.0,56.0,3955.0,844.0,302.0,985.0,2074.0,1079.0,1193.0,159.0,1939.0,32.0,3098.0,347.0,614.0,233.0,1550.0,1735.0,3308,1404.0,125.0
697,4.0,0.0,37.0,40.0,5.0,215.0,992.0,259.0,222.0,36.0,20.0,9.0,20.0,10.0,12.0,52.0,2808.0,533.0,395,306.0,23.0
7,3.0,3.0,23.0,11.0,2.0,10.0,4.0,11.0,16.0,9.0,8.0,1.0,15.0,10.0,6.0,11.0,10.0,17.0,29,5.0,6.0
701,9.0,11.0,33.0,6.0,4.0,24.0,61.0,27.0,25.0,4.0,10.0,10.0,12.0,13.0,1.0,19.0,37.0,41.0,60,43.0,10.0
702,1.0,3.0,28.0,11.0,4.0,1164.0,339.0,1234.0,1476.0,201.0,3.0,15.0,13.0,6.0,3.0,476.0,630.0,2805.0,4231,1217.0,148.0
703,5.0,1.0,14.0,3.0,17.0,9.0,6.0,21.0,16.0,1.0,13.0,2.0,7.0,8.0,10.0,13.0,7.0,15.0,21,4.0,2.0
705,0.0,1.0,6.0,1.0,0.0,22.0,17.0,29.0,20.0,12.0,0.0,0.0,6.0,3.0,1.0,24.0,13.0,28.0,50,39.0,19.0
709,112.0,712.0,4165.0,945.0,242.0,289.0,918.0,330.0,566.0,71.0,622.0,76.0,3956.0,781.0,918.0,60.0,429.0,550.0,642,696.0,99.0
711,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,10.0,0.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,0.0,18,5.0,1.0
713,18.0,4.0,47.0,81.0,64.0,17.0,4.0,17.0,52.0,4.0,63.0,2.0,36.0,68.0,44.0,8.0,2.0,11.0,48,11.0,9.0
