strain_id,A_MTX_5-FC.ALO1_HYR1,A_MTX_Fluconazole.ALO1_HYR1,A_MTX_Metformin.ALO1_HYR1,A_MTX_Trifluoperazine.ALO1_HYR1,A_MTX_noDrug.ALO1_HYR1,A_noMTX_5-FC.ALO1_HYR1,A_noMTX_Fluconazole.ALO1_HYR1,A_noMTX_Metformin.ALO1_HYR1,A_noMTX_Trifluoperazine.ALO1_HYR1,A_noMTX_noDrug.ALO1_HYR1,B_MTX_5-FC.ALO1_HYR1,B_MTX_Fluconazole.ALO1_HYR1,B_MTX_Metformin.ALO1_HYR1,B_MTX_Trifluoperazine.ALO1_HYR1,B_MTX_noDrug.ALO1_HYR1,B_noMTX_5-FC.ALO1_HYR1,B_noMTX_Fluconazole.ALO1_HYR1,B_noMTX_Metformin.ALO1_HYR1,B_noMTX_Trifluoperazine.ALO1_HYR1,B_noMTX_noDrug.ALO1_HYR1,T0_noMTX_noDrug.ALO1_HYR1
791,29.0,112.0,45.0,581.0,40.0,141.0,72.0,60.0,210.0,18.0,61.0,25.0,48.0,102.0,70.0,86.0,159.0,202.0,391,264.0,59.0
795,18.0,10.0,692.0,261.0,33.0,7674.0,9897.0,9493.0,8767.0,1273.0,62.0,2.0,421.0,107.0,38.0,2380.0,18313.0,14535.0,19252,8762.0,707.0
796,6.0,174.0,52.0,3.0,2.0,643.0,3441.0,465.0,1330.0,407.0,11.0,20.0,35.0,2.0,10.0,220.0,5106.0,1463.0,1825,2834.0,286.0
797,2.0,1.0,3.0,1.0,2.0,144.0,29.0,25.0,141.0,18.0,5.0,1.0,1.0,1.0,1.0,65.0,5.0,120.0,197,165.0,43.0
798,13.0,3.0,95.0,7.0,6.0,3886.0,9082.0,3053.0,3991.0,648.0,6.0,1.0,73.0,8.0,1.0,1585.0,13479.0,7091.0,7476,7019.0,486.0
800,0.0,1.0,5.0,3.0,1.0,5.0,33.0,5.0,12.0,2.0,2.0,7.0,0.0,1.0,3.0,3.0,18.0,6.0,16,2.0,2.0
801,0.0,32.0,2.0,2.0,4.0,2.0,13.0,5.0,15.0,1.0,6.0,44.0,6.0,6.0,2.0,4.0,2.0,4.0,16,3.0,0.0
803,0.0,0.0,3.0,2.0,4.0,12.0,22.0,9.0,54.0,3.0,1.0,0.0,6.0,1.0,1.0,13.0,6.0,14.0,67,9.0,1.0
804,3.0,97.0,17.0,4.0,6.0,7.0,8.0,4.0,29.0,2.0,7.0,16.0,17.0,9.0,17.0,16.0,15.0,5.0,32,13.0,7.0
805,7.0,13.0,13.0,2.0,7.0,5.0,6.0,7.0,22.0,1.0,16.0,12.0,4.0,12.0,7.0,10.0,4.0,7.0,36,14.0,2.0
807,0.0,0.0,5.0,1.0,2.0,218.0,290.0,88.0,281.0,13.0,4.0,0.0,8.0,4.0,0.0,24.0,252.0,130.0,410,189.0,71.0
808,3.0,23.0,20.0,11.0,6.0,15.0,23.0,29.0,38.0,3.0,30.0,14.0,13.0,23.0,31.0,13.0,22.0,23.0,57,15.0,4.0
809,68.0,41.0,143.0,75.0,101.0,82.0,15.0,74.0,239.0,23.0,253.0,6.0,125.0,67.0,92.0,37.0,31.0,143.0,197,154.0,41.0
81,2.0,7.0,14.0,11.0,2.0,5.0,3.0,5.0,5.0,4.0,12.0,0.0,17.0,1.0,11.0,3.0,3.0,2.0,9,2.0,6.0
811,13.0,65.0,40.0,87.0,73.0,26.0,28.0,32.0,99.0,9.0,54.0,12.0,14.0,36.0,44.0,30.0,48.0,32.0,213,31.0,7.0
812,1.0,0.0,6.0,3.0,1.0,30.0,5.0,10.0,98.0,6.0,8.0,0.0,5.0,0.0,4.0,21.0,20.0,46.0,77,56.0,43.0
813,26.0,35.0,142.0,226.0,43.0,52.0,44.0,67.0,165.0,19.0,79.0,9.0,122.0,115.0,75.0,57.0,79.0,69.0,274,68.0,17.0
819,2.0,2.0,23.0,8.0,3.0,1471.0,111.0,1008.0,1382.0,146.0,8.0,2.0,21.0,13.0,1.0,235.0,110.0,1642.0,3090,970.0,83.0
821,1.0,1.0,4.0,6.0,0.0,18.0,20.0,9.0,46.0,2.0,4.0,0.0,4.0,0.0,1.0,8.0,11.0,11.0,49,11.0,16.0
823,18.0,3.0,118.0,115.0,24.0,553.0,966.0,690.0,729.0,72.0,62.0,0.0,59.0,69.0,34.0,112.0,1274.0,1010.0,1482,1028.0,105.0
830,0.0,3.0,0.0,0.0,0.0,6.0,2.0,5.0,30.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,4.0,4.0,30,7.0,1.0
833,22.0,24.0,72.0,43.0,44.0,30.0,13.0,23.0,157.0,8.0,73.0,0.0,48.0,58.0,39.0,47.0,17.0,20.0,347,26.0,5.0
835,3.0,16.0,32.0,6.0,1.0,6.0,4.0,10.0,43.0,5.0,23.0,9.0,7.0,9.0,5.0,10.0,6.0,11.0,73,10.0,9.0
837,184.0,9.0,1502.0,1021.0,67.0,552.0,87.0,334.0,491.0,75.0,589.0,2.0,664.0,287.0,353.0,200.0,19.0,600.0,641,673.0,75.0
838,28175.0,5104.0,91731.0,84322.0,27998.0,15776.0,2302.0,13353.0,12586.0,1213.0,64731.0,4339.0,56322.0,116187.0,65074.0,4022.0,10914.0,12169.0,31558,10506.0,2006.0
839,15.0,4.0,65.0,131.0,16.0,193.0,6.0,78.0,325.0,15.0,35.0,1.0,50.0,49.0,20.0,58.0,28.0,124.0,533,269.0,12.0
841,4.0,296.0,52.0,25.0,14.0,10.0,2.0,4.0,40.0,2.0,15.0,319.0,45.0,34.0,11.0,7.0,8.0,14.0,52,8.0,18.0
842,201.0,877.0,2712.0,917.0,149.0,243.0,21.0,153.0,202.0,26.0,402.0,220.0,1260.0,524.0,471.0,92.0,101.0,257.0,407,188.0,37.0
843,6.0,50.0,90.0,24.0,19.0,1739.0,1643.0,787.0,3153.0,439.0,43.0,143.0,59.0,15.0,30.0,618.0,1137.0,2981.0,4114,4434.0,769.0
848,1.0,5.0,11.0,5.0,3.0,3.0,9.0,6.0,14.0,1.0,11.0,7.0,9.0,8.0,6.0,6.0,3.0,7.0,16,5.0,5.0
850,4.0,9.0,43.0,10.0,11.0,513.0,1464.0,703.0,906.0,154.0,17.0,38.0,30.0,27.0,7.0,210.0,1712.0,860.0,1903,705.0,53.0
853,767.0,386.0,3553.0,1294.0,181.0,1678.0,1371.0,976.0,1005.0,375.0,2974.0,160.0,2360.0,629.0,2451.0,636.0,182.0,1636.0,2402,2739.0,437.0
854,1.0,8.0,10.0,1.0,4.0,7.0,6.0,5.0,30.0,0.0,5.0,0.0,1.0,1.0,1.0,5.0,17.0,4.0,50,6.0,4.0
857,4.0,20.0,129.0,3.0,2.0,9815.0,1651.0,11209.0,14471.0,882.0,39.0,21.0,84.0,8.0,9.0,1589.0,5628.0,17055.0,33517,11933.0,2484.0
859,23.0,34.0,51.0,59.0,56.0,11.0,7.0,15.0,40.0,10.0,96.0,6.0,32.0,47.0,52.0,19.0,14.0,9.0,58,6.0,6.0
860,28.0,55.0,62.0,137.0,65.0,45.0,217.0,87.0,264.0,16.0,104.0,17.0,56.0,95.0,79.0,55.0,134.0,42.0,529,57.0,12.0
862,76.0,24.0,294.0,357.0,98.0,64.0,12.0,110.0,178.0,23.0,252.0,3.0,127.0,163.0,170.0,113.0,15.0,86.0,290,60.0,12.0
868,2.0,1.0,3.0,6.0,8.0,4.0,2.0,1.0,17.0,0.0,7.0,2.0,4.0,4.0,1.0,4.0,1.0,7.0,27,21.0,1.0
869,606.0,35.0,2214.0,542.0,583.0,401.0,14.0,241.0,334.0,47.0,3238.0,50.0,1577.0,550.0,836.0,73.0,232.0,369.0,626,542.0,90.0
87,3.0,57.0,23.0,43.0,12.0,7.0,1.0,14.0,34.0,13.0,11.0,51.0,7.0,12.0,4.0,9.0,3.0,7.0,57,11.0,10.0
870,0.0,16.0,2.0,4.0,0.0,0.0,3.0,0.0,7.0,0.0,3.0,4.0,0.0,1.0,0.0,6.0,0.0,1.0,3,1.0,0.0
871,0.0,14.0,2.0,6.0,1.0,3.0,12.0,2.0,9.0,2.0,2.0,3.0,2.0,2.0,1.0,4.0,5.0,10.0,20,4.0,0.0
879,2.0,1.0,1.0,3.0,2.0,113.0,2.0,47.0,83.0,8.0,3.0,0.0,6.0,0.0,1.0,16.0,9.0,47.0,179,67.0,27.0
880,0.0,7.0,3.0,16.0,1.0,2.0,2.0,3.0,3.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,8,3.0,3.0
882,0.0,14.0,14.0,11.0,9.0,2.0,12.0,25.0,20.0,3.0,5.0,35.0,7.0,2.0,10.0,2.0,5.0,21.0,19,4.0,2.0
887,0.0,3.0,3.0,8.0,2.0,7.0,13.0,15.0,19.0,3.0,0.0,7.0,1.0,2.0,0.0,6.0,6.0,14.0,24,10.0,6.0
888,281.0,259.0,1768.0,324.0,81.0,909.0,155.0,529.0,730.0,125.0,719.0,256.0,1138.0,96.0,83.0,247.0,126.0,799.0,1562,965.0,56.0
89,829.0,2559.0,583.0,817.0,3849.0,499.0,1108.0,156.0,209.0,50.0,2281.0,7990.0,511.0,1246.0,4403.0,213.0,1615.0,460.0,229,360.0,166.0
892,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,6.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0,42.0,1.0,5,6.0,1.0
897,1.0,2.0,1.0,5.0,1.0,2.0,1.0,1.0,4.0,0.0,4.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,6,0.0,1.0
904,1.0,1.0,1.0,5.0,1.0,61.0,172.0,88.0,138.0,16.0,3.0,0.0,1.0,0.0,2.0,13.0,94.0,90.0,194,206.0,17.0
91,177.0,685.0,4516.0,838.0,463.0,162.0,630.0,272.0,491.0,86.0,422.0,611.0,2350.0,484.0,881.0,105.0,94.0,895.0,709,590.0,42.0
911,350.0,129.0,3157.0,717.0,530.0,447.0,126.0,559.0,449.0,31.0,759.0,388.0,2410.0,988.0,776.0,136.0,47.0,428.0,2118,208.0,53.0
916,184.0,210.0,2269.0,416.0,79.0,288.0,206.0,276.0,291.0,49.0,726.0,542.0,1447.0,195.0,532.0,119.0,23.0,346.0,275,512.0,41.0
923,0.0,5.0,1.0,1.0,0.0,9.0,10.0,15.0,11.0,4.0,1.0,1.0,0.0,0.0,0.0,9.0,13.0,8.0,29,10.0,13.0
924,4.0,10.0,3.0,4.0,0.0,8.0,4.0,33.0,2.0,2.0,7.0,0.0,4.0,2.0,3.0,4.0,5.0,10.0,6,2.0,3.0
930,1.0,7.0,3.0,1.0,1.0,5.0,9.0,8.0,7.0,1.0,6.0,0.0,1.0,4.0,3.0,5.0,5.0,7.0,13,5.0,2.0
931,165.0,8.0,2683.0,411.0,121.0,487.0,1240.0,780.0,654.0,85.0,422.0,23.0,2202.0,267.0,309.0,180.0,2732.0,1289.0,1402,1374.0,100.0
933,5.0,15.0,14.0,4.0,10.0,1.0,8.0,1.0,12.0,4.0,10.0,10.0,5.0,2.0,5.0,4.0,9.0,3.0,15,5.0,0.0
936,12.0,6.0,35.0,34.0,24.0,10.0,19.0,22.0,18.0,7.0,25.0,4.0,12.0,14.0,16.0,12.0,9.0,20.0,33,12.0,2.0
937,2.0,1.0,8.0,3.0,3.0,3.0,10.0,31.0,21.0,2.0,2.0,3.0,5.0,2.0,4.0,9.0,3.0,13.0,30,8.0,4.0
939,198.0,601.0,142.0,102.0,177.0,170.0,13.0,46.0,336.0,27.0,976.0,293.0,241.0,133.0,316.0,30.0,25.0,95.0,585,177.0,113.0
94,20.0,71.0,19.0,9.0,12.0,14.0,3.0,11.0,23.0,4.0,48.0,36.0,18.0,25.0,28.0,5.0,7.0,6.0,47,24.0,2.0
941,0.0,0.0,10.0,8.0,1.0,20.0,7.0,25.0,32.0,1.0,2.0,0.0,5.0,2.0,5.0,11.0,2.0,29.0,39,1.0,10.0
942,1.0,1.0,4.0,3.0,0.0,2.0,2.0,5.0,4.0,4.0,10.0,0.0,4.0,3.0,2.0,5.0,1.0,2.0,5,6.0,2.0
943,1.0,47.0,3.0,14.0,2.0,0.0,3.0,2.0,9.0,2.0,5.0,17.0,2.0,1.0,4.0,2.0,8.0,2.0,10,2.0,0.0
945,0.0,2.0,5.0,11.0,2.0,2.0,0.0,1.0,4.0,0.0,2.0,0.0,5.0,1.0,3.0,7.0,4.0,5.0,8,1.0,1.0
946,1.0,6.0,0.0,2.0,1.0,2.0,2.0,2.0,5.0,0.0,4.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,3,2.0,0.0
953,5.0,7.0,8.0,3.0,3.0,6.0,4.0,2.0,3.0,2.0,3.0,1.0,9.0,0.0,10.0,7.0,0.0,4.0,10,9.0,2.0
957,6.0,3.0,10.0,35.0,5.0,5.0,12.0,10.0,8.0,0.0,11.0,4.0,8.0,7.0,12.0,8.0,1.0,6.0,13,7.0,4.0
959,2.0,10.0,26.0,13.0,4.0,141.0,392.0,659.0,247.0,83.0,11.0,8.0,22.0,18.0,3.0,118.0,31.0,279.0,303,231.0,103.0
960,6.0,4.0,34.0,34.0,24.0,11.0,4.0,14.0,28.0,4.0,54.0,2.0,25.0,27.0,20.0,25.0,1.0,8.0,22,13.0,6.0
962,1.0,5.0,7.0,18.0,1.0,5.0,14.0,5.0,17.0,0.0,7.0,0.0,3.0,1.0,0.0,16.0,9.0,5.0,19,10.0,2.0
966,2.0,0.0,3.0,2.0,0.0,5.0,2.0,9.0,35.0,5.0,1.0,0.0,1.0,0.0,0.0,3.0,5.0,6.0,46,7.0,0.0
967,22.0,60.0,1277.0,115.0,15.0,289.0,489.0,190.0,219.0,22.0,35.0,34.0,569.0,83.0,16.0,65.0,133.0,445.0,576,243.0,29.0
972,1722.0,40086.0,4226.0,2728.0,1580.0,914.0,182.0,412.0,603.0,109.0,4175.0,11263.0,3426.0,2978.0,1921.0,166.0,447.0,830.0,1691,637.0,61.0
973,0.0,9.0,10.0,4.0,1.0,19.0,7.0,36.0,32.0,10.0,1.0,2.0,7.0,0.0,2.0,13.0,9.0,39.0,47,40.0,8.0
976,0.0,33.0,6.0,30.0,8.0,159.0,20.0,125.0,201.0,9.0,3.0,41.0,9.0,5.0,8.0,52.0,14.0,345.0,508,180.0,35.0
980,3.0,50.0,3.0,10.0,7.0,232.0,17.0,57.0,268.0,37.0,5.0,21.0,5.0,11.0,6.0,31.0,307.0,349.0,260,227.0,14.0
983,2984.0,39851.0,8430.0,10464.0,4345.0,310.0,1012.0,197.0,189.0,98.0,12070.0,99920.0,5497.0,5581.0,12779.0,121.0,502.0,541.0,321,415.0,54.0
984,4.0,58.0,53.0,62.0,11.0,883.0,209.0,830.0,921.0,277.0,4.0,32.0,43.0,4.0,9.0,389.0,177.0,3039.0,1667,2087.0,99.0
985,1.0,7.0,7.0,9.0,2.0,10.0,12.0,29.0,19.0,2.0,3.0,5.0,2.0,2.0,2.0,8.0,4.0,14.0,33,0.0,0.0
987,122.0,34.0,2481.0,81.0,54.0,236.0,541.0,170.0,157.0,75.0,269.0,74.0,1159.0,109.0,134.0,106.0,186.0,759.0,307,278.0,40.0
99,76.0,25.0,1211.0,199.0,29.0,270.0,182.0,146.0,157.0,35.0,551.0,16.0,593.0,138.0,62.0,138.0,39.0,387.0,518,435.0,70.0
991,1.0,1.0,4.0,0.0,4.0,7.0,16.0,32.0,14.0,4.0,4.0,0.0,5.0,2.0,6.0,18.0,32.0,10.0,46,19.0,2.0
992,0.0,0.0,8.0,2.0,4.0,2320.0,604.0,744.0,2193.0,252.0,0.0,0.0,12.0,3.0,2.0,604.0,603.0,2025.0,3408,2356.0,149.0
996,4.0,6.0,3.0,3.0,16.0,4.0,17.0,4.0,6.0,2.0,30.0,3.0,4.0,2.0,7.0,2.0,11.0,1.0,9,6.0,2.0
998,1.0,17.0,7.0,3.0,1.0,6.0,2.0,4.0,6.0,1.0,7.0,17.0,0.0,2.0,5.0,5.0,5.0,6.0,7,3.0,1.0
999,2.0,11.0,5.0,6.0,7.0,3.0,1.0,1.0,5.0,0.0,7.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,9,1.0,0.0
1052,0.0,26.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,8.0,1.0,2.0,2.0,5.0,1.0,2.0,4,0.0,0.0
17_2,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8,0.0,0.0
217,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,7,0.0,0.0
22,0.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,6,0.0,0.0
292,0.0,1.0,3.0,1.0,1.0,0.0,1.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,4.0,1,0.0,0.0
387,0.0,8.0,3.0,8.0,1.0,1.0,0.0,1.0,2.0,0.0,9.0,5.0,1.0,8.0,4.0,1.0,1.0,1.0,2,1.0,11.0
411,3.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,2,1.0,0.0
44,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5,0.0,0.0
501,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,3,0.0,0.0
506,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,0.0,2,1.0,0.0
59,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3,0.0,0.0
607,1.0,1.0,0.0,2.0,3.0,4.0,6.0,1.0,7.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,7.0,5.0,10,4.0,1.0
643,0.0,2.0,2.0,12.0,4.0,0.0,4.0,3.0,17.0,0.0,5.0,1.0,4.0,5.0,1.0,2.0,5.0,0.0,17,1.0,0.0
753,1.0,10.0,9.0,3.0,3.0,1.0,1.0,11.0,47.0,0.0,4.0,9.0,3.0,4.0,4.0,1.0,5.0,15.0,89,5.0,2.0
79,0.0,0.0,1.0,1.0,2.0,1.0,1.0,6.0,3.0,1.0,13.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,3,3.0,0.0
917,0.0,1.0,5.0,18.0,1.0,2.0,3.0,9.0,9.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,8,3.0,1.0
956,1.0,21.0,3.0,34.0,3.0,4.0,3.0,5.0,6.0,2.0,4.0,49.0,5.0,2.0,8.0,2.0,1.0,2.0,19,0.0,0.0
454,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,7.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,6,0.0,2.0
932,5.0,3.0,5.0,7.0,2.0,1.0,0.0,1.0,4.0,0.0,17.0,1.0,4.0,7.0,9.0,5.0,4.0,1.0,10,1.0,0.0
