strain_id,A_MTX_5-FC.ERG11_MID2,A_MTX_Fluconazole.ERG11_MID2,A_MTX_Metformin.ERG11_MID2,A_MTX_Trifluoperazine.ERG11_MID2,A_MTX_noDrug.ERG11_MID2,A_noMTX_5-FC.ERG11_MID2,A_noMTX_Fluconazole.ERG11_MID2,A_noMTX_Metformin.ERG11_MID2,A_noMTX_Trifluoperazine.ERG11_MID2,A_noMTX_noDrug.ERG11_MID2,B_MTX_5-FC.ERG11_MID2,B_MTX_Fluconazole.ERG11_MID2,B_MTX_Metformin.ERG11_MID2,B_MTX_Trifluoperazine.ERG11_MID2,B_MTX_noDrug.ERG11_MID2,B_noMTX_5-FC.ERG11_MID2,B_noMTX_Fluconazole.ERG11_MID2,B_noMTX_Metformin.ERG11_MID2,B_noMTX_Trifluoperazine.ERG11_MID2,B_noMTX_noDrug.ERG11_MID2,T0_noMTX_noDrug.ERG11_MID2
64,29.0,19.0,28.0,135.0,229.0,23.0,6.0,27.0,72.0,13.0,108.0,4.0,57.0,107.0,68.0,12.0,3.0,33.0,26.0,21.0,8.0
640,53.0,237.0,68.0,29.0,191.0,375.0,63.0,337.0,253.0,206.0,117.0,59.0,120.0,38.0,30.0,409.0,33.0,372.0,286.0,323.0,75.0
642,441.0,179.0,348.0,313.0,862.0,773.0,14.0,350.0,341.0,294.0,941.0,69.0,437.0,141.0,178.0,650.0,239.0,515.0,440.0,551.0,80.0
648,1973.0,1377.0,179.0,684.0,2623.0,1362.0,197.0,454.0,625.0,274.0,4159.0,141.0,323.0,412.0,328.0,881.0,192.0,345.0,502.0,787.0,198.0
649,1379.0,23.0,1228.0,1825.0,7188.0,425.0,5.0,562.0,495.0,326.0,2777.0,326.0,1036.0,1192.0,773.0,596.0,64.0,535.0,463.0,866.0,119.0
65,10.0,7.0,1.0,7.0,14.0,3.0,6.0,9.0,11.0,1.0,4.0,7.0,3.0,1.0,5.0,4.0,0.0,6.0,6.0,5.0,1.0
651,54.0,4.0,20.0,51.0,258.0,29.0,6.0,16.0,33.0,13.0,84.0,8.0,99.0,53.0,30.0,48.0,4.0,152.0,17.0,50.0,8.0
652,226.0,31.0,148.0,315.0,442.0,197.0,13.0,165.0,202.0,87.0,390.0,6.0,109.0,207.0,63.0,206.0,25.0,216.0,75.0,187.0,99.0
653,44.0,527.0,23.0,35.0,149.0,105.0,24.0,104.0,182.0,40.0,77.0,369.0,19.0,22.0,5.0,92.0,19.0,127.0,113.0,96.0,23.0
657,288.0,1542.0,306.0,236.0,1610.0,480.0,33.0,448.0,736.0,465.0,788.0,89.0,309.0,267.0,194.0,341.0,66.0,539.0,368.0,600.0,78.0
658,745.0,5.0,460.0,710.0,1934.0,496.0,0.0,241.0,246.0,188.0,1653.0,1030.0,260.0,297.0,237.0,167.0,0.0,551.0,210.0,287.0,24.0
66,5.0,8.0,53.0,9.0,45.0,210.0,1066.0,211.0,94.0,85.0,2.0,0.0,24.0,5.0,0.0,109.0,3.0,249.0,83.0,184.0,107.0
660,167.0,6.0,114.0,51.0,224.0,147.0,167.0,200.0,275.0,88.0,173.0,108.0,241.0,56.0,37.0,170.0,6.0,167.0,103.0,123.0,42.0
666,230.0,598.0,105.0,270.0,874.0,201.0,15.0,165.0,170.0,115.0,489.0,92.0,186.0,155.0,145.0,104.0,105.0,158.0,110.0,217.0,72.0
667,1099.0,3193.0,899.0,1794.0,5029.0,677.0,313.0,719.0,692.0,443.0,1659.0,1195.0,840.0,1308.0,844.0,651.0,198.0,786.0,799.0,886.0,121.0
668,36.0,75.0,19.0,62.0,182.0,128.0,98.0,78.0,140.0,16.0,94.0,8.0,17.0,36.0,11.0,56.0,49.0,87.0,102.0,94.0,25.0
673,20217.0,1853.0,11789.0,18041.0,80870.0,23864.0,125.0,17077.0,32547.0,10349.0,39504.0,259.0,14230.0,12508.0,10607.0,14642.0,707.0,26609.0,20517.0,25864.0,4774.0
674,348.0,1609.0,372.0,491.0,1470.0,150.0,11.0,141.0,118.0,64.0,350.0,342.0,189.0,335.0,351.0,61.0,34.0,340.0,71.0,279.0,47.0
676,1381.0,214.0,422.0,1437.0,3414.0,1023.0,4596.0,636.0,1197.0,322.0,2790.0,49.0,751.0,892.0,588.0,714.0,259.0,583.0,868.0,971.0,149.0
677,0.0,10.0,4.0,4.0,2.0,89.0,17.0,64.0,84.0,15.0,3.0,1.0,0.0,3.0,1.0,20.0,6.0,49.0,126.0,58.0,8.0
683,0.0,5.0,3.0,0.0,4.0,8.0,1.0,12.0,9.0,5.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,6.0,3.0,5.0,5.0
685,17.0,1535.0,113.0,9.0,18.0,853.0,8.0,645.0,516.0,215.0,18.0,544.0,163.0,6.0,0.0,715.0,27.0,990.0,385.0,536.0,199.0
689,194.0,4440.0,100.0,123.0,249.0,232.0,21.0,82.0,114.0,115.0,365.0,551.0,64.0,62.0,71.0,194.0,13.0,149.0,93.0,160.0,22.0
690,55.0,81.0,88.0,83.0,192.0,115.0,6.0,102.0,65.0,61.0,316.0,136.0,12.0,93.0,14.0,119.0,6.0,536.0,38.0,124.0,27.0
692,18.0,8.0,72.0,9.0,6.0,373.0,590.0,377.0,289.0,218.0,20.0,147.0,40.0,6.0,0.0,308.0,167.0,743.0,287.0,355.0,83.0
693,14.0,26.0,39.0,27.0,119.0,102.0,2.0,121.0,57.0,29.0,25.0,1.0,27.0,18.0,27.0,42.0,5.0,140.0,95.0,139.0,29.0
695,196.0,130.0,345.0,113.0,752.0,419.0,42.0,303.0,258.0,122.0,179.0,1.0,315.0,102.0,58.0,180.0,3.0,444.0,313.0,307.0,37.0
697,9.0,2.0,112.0,12.0,30.0,85.0,14.0,72.0,132.0,72.0,15.0,0.0,4.0,2.0,6.0,97.0,13.0,337.0,151.0,170.0,30.0
7,139.0,4.0,275.0,178.0,627.0,374.0,50.0,102.0,337.0,59.0,298.0,0.0,45.0,74.0,84.0,194.0,2.0,243.0,143.0,183.0,27.0
701,65.0,468.0,316.0,21.0,34.0,946.0,82.0,385.0,791.0,229.0,85.0,442.0,350.0,21.0,3.0,850.0,179.0,609.0,482.0,551.0,93.0
702,116.0,48.0,519.0,34.0,81.0,795.0,1990.0,686.0,1147.0,332.0,222.0,25.0,782.0,40.0,10.0,623.0,194.0,1211.0,838.0,925.0,310.0
703,83.0,16.0,89.0,49.0,342.0,108.0,0.0,54.0,152.0,80.0,147.0,8.0,56.0,22.0,148.0,137.0,9.0,130.0,95.0,88.0,10.0
705,15.0,15.0,37.0,0.0,0.0,654.0,3.0,301.0,657.0,180.0,27.0,0.0,35.0,3.0,0.0,694.0,5.0,679.0,588.0,422.0,69.0
709,155.0,18.0,248.0,337.0,563.0,112.0,4.0,58.0,170.0,30.0,55.0,14.0,379.0,187.0,97.0,34.0,7.0,112.0,63.0,71.0,18.0
711,8.0,2.0,11.0,1.0,6.0,67.0,0.0,25.0,23.0,16.0,15.0,11.0,2.0,1.0,0.0,18.0,1.0,103.0,39.0,65.0,8.0
713,423.0,65.0,293.0,712.0,946.0,237.0,44.0,303.0,195.0,107.0,755.0,37.0,241.0,521.0,215.0,197.0,19.0,238.0,264.0,269.0,108.0
