strain_id,A_MTX_5-FC.ERG11_ERG5,A_MTX_Fluconazole.ERG11_ERG5,A_MTX_Metformin.ERG11_ERG5,A_MTX_Trifluoperazine.ERG11_ERG5,A_MTX_noDrug.ERG11_ERG5,A_noMTX_5-FC.ERG11_ERG5,A_noMTX_Fluconazole.ERG11_ERG5,A_noMTX_Metformin.ERG11_ERG5,A_noMTX_Trifluoperazine.ERG11_ERG5,A_noMTX_noDrug.ERG11_ERG5,B_MTX_5-FC.ERG11_ERG5,B_MTX_Fluconazole.ERG11_ERG5,B_MTX_Metformin.ERG11_ERG5,B_MTX_Trifluoperazine.ERG11_ERG5,B_MTX_noDrug.ERG11_ERG5,B_noMTX_5-FC.ERG11_ERG5,B_noMTX_Fluconazole.ERG11_ERG5,B_noMTX_Metformin.ERG11_ERG5,B_noMTX_Trifluoperazine.ERG11_ERG5,B_noMTX_noDrug.ERG11_ERG5,T0_noMTX_noDrug.ERG11_ERG5
43,0.0,0.0,0.0,8.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,6.0,0.0,2.0
431,7.0,1.0,35.0,17.0,34.0,74.0,89.0,116.0,16.0,73.0,13.0,0.0,14.0,13.0,1.0,31.0,2.0,15.0,31.0,46.0,10.0
433,5.0,5.0,12.0,31.0,12.0,21.0,6.0,14.0,21.0,68.0,4.0,4.0,11.0,2.0,0.0,18.0,6.0,11.0,11.0,4.0,8.0
434,143.0,236.0,419.0,429.0,476.0,266.0,76.0,753.0,156.0,609.0,226.0,37.0,659.0,182.0,26.0,387.0,11.0,275.0,209.0,387.0,81.0
437,11.0,15.0,12.0,21.0,9.0,10.0,13.0,8.0,19.0,30.0,8.0,7.0,17.0,4.0,1.0,10.0,11.0,19.0,10.0,6.0,2.0
438,1.0,0.0,0.0,0.0,0.0,12.0,12.0,15.0,5.0,8.0,0.0,1.0,3.0,0.0,0.0,11.0,6.0,5.0,4.0,6.0,9.0
439,2.0,35.0,8.0,8.0,0.0,27.0,67.0,99.0,14.0,25.0,0.0,4.0,2.0,1.0,0.0,36.0,14.0,19.0,17.0,16.0,14.0
43_ref1,1.0,1.0,3.0,3.0,2.0,1.0,458.0,3.0,3.0,5.0,0.0,3.0,0.0,1.0,0.0,1.0,686.0,142.0,1.0,1.0,216.0
43_ref2,4.0,1.0,2.0,21.0,3.0,21.0,33.0,7.0,46.0,368.0,4.0,2.0,7.0,3.0,5.0,38.0,364.0,114.0,76.0,240.0,294.0
442,13.0,2.0,11.0,80.0,11.0,8.0,8.0,6.0,27.0,42.0,7.0,1.0,15.0,6.0,2.0,10.0,5.0,8.0,9.0,7.0,3.0
444,0.0,0.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0
446,3.0,4.0,46.0,36.0,0.0,48.0,1.0,157.0,20.0,70.0,8.0,4.0,54.0,21.0,0.0,42.0,24.0,21.0,26.0,19.0,27.0
45,1.0,6.0,3.0,12.0,3.0,6.0,7.0,5.0,15.0,12.0,2.0,3.0,2.0,2.0,2.0,4.0,6.0,11.0,7.0,4.0,2.0
450,2.0,35.0,3.0,6.0,10.0,2.0,14.0,12.0,6.0,18.0,8.0,7.0,2.0,2.0,5.0,3.0,12.0,2.0,7.0,4.0,6.0
452,7.0,21.0,6.0,11.0,1.0,1.0,443.0,1.0,17.0,25.0,4.0,3.0,6.0,2.0,1.0,1.0,843.0,190.0,4.0,2.0,1.0
458,3.0,8.0,8.0,4.0,4.0,7.0,9.0,5.0,6.0,53.0,1.0,2.0,2.0,2.0,0.0,33.0,7.0,15.0,19.0,41.0,4.0
459,27.0,3.0,6.0,13.0,2.0,12.0,5.0,30.0,21.0,45.0,16.0,4.0,9.0,5.0,4.0,7.0,2.0,10.0,19.0,7.0,12.0
460,349.0,161.0,374.0,385.0,388.0,365.0,755.0,245.0,148.0,449.0,232.0,399.0,531.0,209.0,57.0,515.0,558.0,338.0,152.0,393.0,49.0
466,8.0,7.0,2.0,9.0,5.0,3.0,8.0,5.0,8.0,24.0,2.0,3.0,10.0,1.0,0.0,5.0,7.0,7.0,11.0,5.0,0.0
468,1678.0,490.0,1178.0,2715.0,2700.0,788.0,49.0,217.0,583.0,1139.0,1484.0,220.0,1587.0,1018.0,598.0,920.0,36.0,438.0,653.0,854.0,159.0
470,156.0,39.0,142.0,394.0,302.0,262.0,58.0,613.0,100.0,456.0,122.0,54.0,110.0,172.0,75.0,352.0,25.0,63.0,126.0,179.0,59.0
473,7.0,10.0,3.0,26.0,20.0,10.0,35.0,31.0,8.0,77.0,1.0,20.0,4.0,6.0,2.0,35.0,8.0,59.0,14.0,14.0,15.0
475,277.0,592.0,3143.0,799.0,224.0,1999.0,1175.0,2474.0,971.0,3806.0,275.0,1012.0,4149.0,296.0,36.0,1927.0,1969.0,2843.0,1626.0,3310.0,569.0
476,48.0,25.0,1200.0,283.0,26.0,898.0,65.0,3455.0,401.0,778.0,61.0,3.0,716.0,66.0,12.0,384.0,1211.0,915.0,382.0,525.0,951.0
