strain_id,A_MTX_5-FC.ERG11_TPO4,A_MTX_Fluconazole.ERG11_TPO4,A_MTX_Metformin.ERG11_TPO4,A_MTX_Trifluoperazine.ERG11_TPO4,A_MTX_noDrug.ERG11_TPO4,A_noMTX_5-FC.ERG11_TPO4,A_noMTX_Fluconazole.ERG11_TPO4,A_noMTX_Metformin.ERG11_TPO4,A_noMTX_Trifluoperazine.ERG11_TPO4,A_noMTX_noDrug.ERG11_TPO4,B_MTX_5-FC.ERG11_TPO4,B_MTX_Fluconazole.ERG11_TPO4,B_MTX_Metformin.ERG11_TPO4,B_MTX_Trifluoperazine.ERG11_TPO4,B_MTX_noDrug.ERG11_TPO4,B_noMTX_5-FC.ERG11_TPO4,B_noMTX_Fluconazole.ERG11_TPO4,B_noMTX_Metformin.ERG11_TPO4,B_noMTX_Trifluoperazine.ERG11_TPO4,B_noMTX_noDrug.ERG11_TPO4,T0_noMTX_noDrug.ERG11_TPO4
578,1957.0,4722.0,2750.0,3204.0,3961.0,619.0,1879.0,758.0,2020.0,1030.0,940.0,1322.0,1028.0,1581.0,12826.0,723.0,402.0,632.0,1503.0,1136.0,221.0
58,1.0,1.0,3.0,21.0,3.0,7.0,4.0,6.0,17.0,4.0,1.0,1.0,1.0,1.0,114.0,2.0,5.0,3.0,3.0,5.0,23.0
581,1.0,12.0,50.0,9.0,1.0,65.0,187.0,66.0,58.0,35.0,2.0,11.0,3.0,2.0,46.0,66.0,32.0,34.0,47.0,104.0,19.0
586,14.0,11.0,367.0,81.0,10.0,209.0,10.0,247.0,214.0,112.0,11.0,0.0,84.0,9.0,249.0,111.0,25.0,140.0,183.0,441.0,47.0
588,5.0,0.0,20.0,38.0,12.0,140.0,5.0,124.0,139.0,78.0,3.0,0.0,5.0,2.0,155.0,52.0,5.0,39.0,69.0,141.0,20.0
589,9.0,143.0,364.0,33.0,6.0,164.0,368.0,558.0,208.0,190.0,3.0,150.0,60.0,6.0,123.0,174.0,55.0,166.0,81.0,316.0,40.0
590,7.0,3.0,11.0,19.0,10.0,66.0,15.0,112.0,89.0,48.0,4.0,0.0,37.0,6.0,167.0,19.0,2.0,13.0,33.0,39.0,1.0
596,0.0,0.0,48.0,6.0,0.0,129.0,7.0,44.0,390.0,75.0,3.0,0.0,17.0,0.0,22.0,58.0,6.0,206.0,294.0,226.0,58.0
598,1455.0,778.0,2361.0,2581.0,1704.0,328.0,980.0,607.0,816.0,457.0,786.0,403.0,549.0,968.0,5748.0,495.0,58.0,326.0,619.0,440.0,109.0
599,2833.0,260.0,3096.0,3810.0,4809.0,646.0,60.0,683.0,674.0,361.0,1502.0,58.0,1422.0,1355.0,10054.0,563.0,4.0,287.0,553.0,561.0,120.0
