strain_id,B_noMTX_Fluconazole.ERV25_EMP47,B_noMTX_Fluconazole.ERG11_ACF2,B_noMTX_Fluconazole.HNM1_ERG11,B_noMTX_Fluconazole.SSH1_ERG11,B_noMTX_Fluconazole.HUG1_ALO1,B_noMTX_Fluconazole.ADE17_PGM2,B_noMTX_Fluconazole.ALO1_HYR1,B_noMTX_Fluconazole.DHH1_LSM3,B_noMTX_Fluconazole.noPPI_reference,B_noMTX_Fluconazole.MID2_PIN2,B_noMTX_Fluconazole.PLM2_HNM1,B_noMTX_Fluconazole.HNM1_TPO1,B_noMTX_Fluconazole.RET2_EMP47,B_noMTX_Fluconazole.SSH1_ORM2,B_noMTX_Fluconazole.MID2_MAM33,B_noMTX_Fluconazole.ERG11_ERV25,B_noMTX_Fluconazole.RET2_SNA3,B_noMTX_Fluconazole.SSH1_PIS1,B_noMTX_Fluconazole.ERG11_HYR1,B_noMTX_Fluconazole.SRO9_DHH1,B_noMTX_Fluconazole.SSH1_ERV25,B_noMTX_Fluconazole.ADE17_GIS2,B_noMTX_Fluconazole.FMP45_MID2,B_noMTX_Fluconazole.ERV25_UIP4,B_noMTX_Fluconazole.ERG27_ACF2,B_noMTX_Fluconazole.MID2_WSC2,B_noMTX_Fluconazole.SRO9_SGN1,B_noMTX_Fluconazole.GTR1_SLM4,B_noMTX_Fluconazole.HUG1_ADE17,B_noMTX_Fluconazole.SRO9_GIS2,B_noMTX_Fluconazole.SNA4_GTR2,B_noMTX_Fluconazole.PMC1_CTR2,B_noMTX_Fluconazole.MID2_RSN1,B_noMTX_Fluconazole.ALO1_UIP4,B_noMTX_Fluconazole.PLM2_SNA3,B_noMTX_Fluconazole.HNM1_TPO2,B_noMTX_Fluconazole.ERG11_MID2,B_noMTX_Fluconazole.ERV25_ERG5,B_noMTX_Fluconazole.HNM1_MAM33,B_noMTX_Fluconazole.SNA4_VAC8,B_noMTX_Fluconazole.HNM1_TPO4,B_noMTX_Fluconazole.ERG11_ERG5,B_noMTX_Fluconazole.ERG11_ORM2,B_noMTX_Fluconazole.FMP45_MEP1,B_noMTX_Fluconazole.HUG1_PGM2,B_noMTX_Fluconazole.TPO1_TPO2,B_noMTX_Fluconazole.RET2_EMP70,B_noMTX_Fluconazole.HNM1_RBD2,B_noMTX_Fluconazole.ERV25_ORM2,B_noMTX_Fluconazole.ERV25_PIS1,B_noMTX_Fluconazole.MID2_TPO4,B_noMTX_Fluconazole.PMC1_GTR2,B_noMTX_Fluconazole.FMP45_HNM1,B_noMTX_Fluconazole.ERG11_TPO4,B_noMTX_Fluconazole.ADE17_HYR1,B_noMTX_Fluconazole.ERG11_PIS1,B_noMTX_Fluconazole.TPO1_TCB2,B_noMTX_Fluconazole.MID2_TPO2,B_noMTX_Fluconazole.TPO1_MID2,B_noMTX_Fluconazole.ALO1_ADE17,B_noMTX_Fluconazole.ERV25_RBD2,B_noMTX_Fluconazole.HNM1_MID2
543,2.0,3.0,27.0,22.0,109.0,29.0,40.0,114.0,34.0,3.0,40.0,65.0,3.0,1.0,168.0,0.0,6.0,3.0,10.0,323.0,3.0,41.0,2.0,6.0,82.0,7.0,4.0,2.0,208.0,4.0,52.0,71.0,1.0,1.0,0.0,2.0,1.0,26.0,2.0,4698.0,48.0,39.0,0.0,41.0,28.0,54.0,5.0,5.0,20.0,0.0,171.0,90.0,1.0,4.0,97.0,39.0,4.0,75.0,61.0,2.0,19234.0,15.0
545,1937.0,2994.0,64.0,29.0,299.0,32.0,3250.0,37.0,32.0,144.0,391.0,57.0,17.0,28.0,15.0,31.0,26.0,21.0,14.0,985.0,99.0,80.0,911.0,553.0,88.0,25.0,238.0,20.0,124.0,1287.0,457.0,477.0,7.0,335.0,30.0,39.0,85.0,639.0,191.0,18.0,418.0,1179.0,265.0,223.0,9.0,523.0,24.0,17.0,34.0,72.0,448.0,204.0,1253.0,35.0,28.0,42.0,423.0,16.0,108.0,2461.0,12.0,443.0
546,31.0,15.0,10.0,60.0,542.0,32.0,22.0,2394.0,9.0,146.0,553.0,284.0,21.0,1.0,92.0,7.0,14.0,25.0,5.0,211.0,1792.0,4749.0,7.0,27.0,39.0,216.0,194.0,17.0,20.0,238.0,190.0,24.0,4.0,19.0,132.0,736.0,129.0,431.0,61.0,655.0,229.0,901.0,18.0,492.0,12.0,88.0,3.0,10.0,8.0,14.0,19.0,13.0,10.0,44.0,88.0,255.0,16.0,233.0,153.0,130.0,89.0,80.0
557,2.0,4.0,3.0,1.0,605.0,6.0,0.0,45.0,44.0,18.0,38.0,9.0,2.0,5.0,19.0,2.0,7.0,15.0,2.0,86.0,6.0,21.0,9.0,6.0,190.0,3.0,2.0,8.0,11.0,5.0,71.0,14.0,3.0,6.0,5.0,3.0,1.0,158.0,66.0,9.0,9.0,16.0,4.0,82.0,3.0,5.0,3.0,2.0,106.0,1.0,21.0,10.0,13.0,9.0,959.0,15.0,0.0,9.0,1.0,1.0,57.0,139.0
559,5.0,9.0,2.0,2.0,37.0,2.0,5.0,20.0,63.0,4.0,0.0,7.0,3.0,33.0,3.0,2.0,4.0,3.0,1.0,3.0,5.0,5.0,14.0,7.0,1.0,1.0,3.0,1.0,4.0,7.0,9.0,19.0,1.0,0.0,1.0,7.0,4.0,2.0,20.0,2.0,10.0,38.0,16.0,4.0,2.0,2.0,2.0,7.0,4.0,7.0,33.0,17.0,2.0,9.0,7.0,6.0,4.0,0.0,4.0,0.0,13.0,7.0
564,22.0,15.0,2.0,13.0,101.0,7.0,11.0,101.0,11.0,14.0,12.0,22.0,8.0,5.0,26.0,16.0,10.0,6.0,4.0,133.0,18.0,16.0,8.0,47.0,9.0,11.0,24.0,11.0,22.0,6.0,8.0,24.0,0.0,8.0,89.0,11.0,4.0,11.0,18.0,5.0,10.0,14.0,11.0,8.0,5.0,22.0,2.0,7.0,11.0,5.0,25.0,21.0,22.0,8.0,19.0,62.0,17.0,12.0,3.0,5.0,65.0,20.0
567,25.0,9.0,9.0,8.0,48.0,5.0,30.0,47.0,101.0,9.0,21.0,19.0,11.0,2.0,12.0,6.0,13.0,12.0,6.0,22.0,105.0,25.0,164.0,90.0,7.0,6.0,9.0,11.0,30.0,11.0,63.0,114.0,7.0,44.0,5.0,6.0,12.0,76.0,20.0,2.0,35.0,18.0,9.0,347.0,6.0,302.0,10.0,6.0,8.0,13.0,369.0,401.0,151.0,9.0,52.0,24.0,175.0,14.0,86.0,51.0,66.0,16.0
57,52.0,40.0,0.0,132.0,10.0,5.0,6.0,7.0,64.0,63.0,5.0,5.0,0.0,3472.0,904.0,20.0,1.0,34.0,1.0,16.0,102.0,14.0,0.0,1.0,0.0,2722.0,0.0,0.0,9.0,46.0,8.0,75.0,24.0,17.0,3.0,12.0,0.0,171.0,2.0,0.0,36.0,4.0,2.0,49.0,23.0,2.0,19.0,10.0,24.0,0.0,550.0,117.0,22.0,6.0,7.0,3.0,6.0,113.0,0.0,12.0,11.0,7.0
571,14.0,7.0,284.0,489.0,1181.0,7.0,7.0,28.0,59.0,67.0,413.0,560.0,15.0,2.0,46.0,2.0,17.0,9.0,11.0,14.0,293.0,16.0,9.0,293.0,1131.0,80.0,3.0,1.0,14.0,3.0,47.0,60.0,5.0,31.0,20.0,147.0,16.0,5.0,37.0,5.0,2121.0,29.0,20.0,747.0,5.0,33.0,14.0,6.0,0.0,4.0,9.0,11.0,28.0,19.0,52.0,16.0,29.0,156.0,1193.0,644.0,26.0,38.0
574,38.0,3.0,2.0,5.0,175.0,2.0,49.0,43.0,57.0,9.0,4.0,11.0,3.0,0.0,12.0,1.0,10.0,34.0,134.0,2.0,301.0,6.0,4.0,25.0,7.0,3.0,59.0,2.0,6.0,34.0,28.0,25.0,11.0,29.0,1.0,2.0,1.0,0.0,4.0,1.0,47.0,6.0,9.0,1.0,7.0,135.0,0.0,2.0,1.0,8.0,31.0,314.0,4.0,3.0,16.0,8.0,4.0,0.0,5.0,116.0,19.0,30.0
