strain_id,B_MTX_5-FC.ALO1_HYR1,B_MTX_5-FC.SNA4_GTR2,B_MTX_5-FC.ERV25_UIP4,B_MTX_5-FC.PLM2_SNA3,B_MTX_5-FC.PMC1_CTR2,B_MTX_5-FC.SSH1_PIS1,B_MTX_5-FC.ALO1_UIP4,B_MTX_5-FC.ERG11_MID2,B_MTX_5-FC.noPPI_reference,B_MTX_5-FC.ERG11_ACF2,B_MTX_5-FC.ERV25_PIS1,B_MTX_5-FC.HNM1_MAM33,B_MTX_5-FC.ADE17_PGM2,B_MTX_5-FC.TPO1_TCB2,B_MTX_5-FC.HNM1_TPO1,B_MTX_5-FC.ERG11_ERG5,B_MTX_5-FC.ERV25_EMP47,B_MTX_5-FC.SSH1_ORM2,B_MTX_5-FC.ADE17_HYR1,B_MTX_5-FC.GTR1_SLM4,B_MTX_5-FC.HNM1_RBD2,B_MTX_5-FC.TPO1_TPO2,B_MTX_5-FC.ALO1_ADE17,B_MTX_5-FC.MID2_TPO4,B_MTX_5-FC.SSH1_ERG11,B_MTX_5-FC.MID2_TPO2,B_MTX_5-FC.FMP45_MID2,B_MTX_5-FC.FMP45_HNM1,B_MTX_5-FC.HNM1_ERG11,B_MTX_5-FC.ERV25_ERG5,B_MTX_5-FC.ERG27_ACF2,B_MTX_5-FC.HNM1_MID2,B_MTX_5-FC.ERV25_ORM2,B_MTX_5-FC.HUG1_ALO1,B_MTX_5-FC.ERG11_TPO4,B_MTX_5-FC.SRO9_SGN1,B_MTX_5-FC.MID2_RSN1,B_MTX_5-FC.DHH1_LSM3,B_MTX_5-FC.RET2_SNA3,B_MTX_5-FC.MID2_PIN2,B_MTX_5-FC.HNM1_TPO2,B_MTX_5-FC.RET2_EMP47,B_MTX_5-FC.ERG11_PIS1,B_MTX_5-FC.HUG1_PGM2,B_MTX_5-FC.MID2_MAM33,B_MTX_5-FC.SRO9_DHH1,B_MTX_5-FC.ADE17_GIS2,B_MTX_5-FC.MID2_WSC2,B_MTX_5-FC.SNA4_VAC8,B_MTX_5-FC.SSH1_ERV25,B_MTX_5-FC.PLM2_HNM1,B_MTX_5-FC.PMC1_GTR2,B_MTX_5-FC.ERV25_RBD2,B_MTX_5-FC.FMP45_MEP1,B_MTX_5-FC.ERG11_ERV25,B_MTX_5-FC.RET2_EMP70,B_MTX_5-FC.ERG11_HYR1,B_MTX_5-FC.TPO1_MID2,B_MTX_5-FC.ERG11_ORM2,B_MTX_5-FC.HNM1_TPO4,B_MTX_5-FC.SRO9_GIS2,B_MTX_5-FC.HUG1_ADE17
348,11.0,0.0,428.0,0.0,4.0,4.0,1.0,21.0,2.0,12.0,7.0,255.0,2.0,398.0,26.0,2.0,12.0,23.0,4.0,16.0,19.0,83.0,0.0,10.0,2.0,7.0,0.0,2.0,207.0,5.0,5.0,52.0,13.0,0.0,0.0,10.0,9.0,28.0,3.0,10.0,8.0,2.0,2.0,10.0,4.0,31.0,4.0,3.0,1.0,1.0,3.0,2.0,8.0,1.0,3.0,10.0,5.0,39.0,3.0,2.0,17.0,8.0
350,45.0,894.0,1378.0,43.0,36.0,3943.0,56.0,385.0,409.0,277.0,1086.0,235.0,19.0,18.0,33.0,14.0,768.0,2242.0,27.0,40.0,6.0,45.0,24.0,82.0,1438.0,417.0,27.0,430.0,351.0,554.0,2907.0,213.0,1065.0,30.0,534.0,1064.0,306.0,12.0,15.0,59.0,795.0,46.0,154.0,798.0,67.0,66.0,38.0,15.0,93.0,770.0,675.0,4.0,30.0,1105.0,105.0,63.0,27.0,9.0,102.0,1258.0,28.0,19.0
354,6.0,2.0,1.0,0.0,1.0,3.0,2.0,18.0,2.0,2.0,6.0,2.0,0.0,0.0,2.0,1.0,2.0,4.0,3.0,9.0,1.0,9.0,0.0,1.0,7.0,5.0,1.0,5.0,2.0,0.0,1.0,2.0,6.0,2.0,3.0,62.0,2.0,1.0,0.0,7.0,2.0,1.0,2.0,0.0,2.0,3.0,0.0,1.0,2.0,2.0,3.0,0.0,2.0,1.0,36.0,1.0,7.0,3.0,0.0,3.0,5.0,0.0
358,351.0,0.0,116.0,1.0,13.0,81.0,103.0,30.0,270.0,9.0,608.0,10.0,2.0,0.0,7.0,5.0,6.0,6.0,9.0,11.0,5.0,28.0,1.0,17.0,8.0,21.0,23.0,8.0,15.0,26.0,28.0,24.0,91.0,210.0,5.0,85.0,70.0,3.0,2.0,5.0,7.0,7.0,1.0,204.0,5.0,28.0,7.0,4.0,3.0,3.0,1.0,1.0,310.0,1.0,15.0,3.0,0.0,1.0,5.0,5.0,6.0,57.0
359,40.0,33.0,76.0,3.0,4.0,15.0,113.0,3.0,3036.0,22.0,3.0,2.0,35.0,0.0,10.0,13.0,12.0,17.0,43.0,3.0,1.0,14.0,1.0,3.0,935.0,42.0,35.0,317.0,92.0,70.0,32.0,5.0,187.0,6.0,7.0,5.0,134.0,3.0,2.0,68.0,1.0,0.0,32.0,103.0,11.0,24.0,25.0,3.0,4940.0,238.0,21.0,63.0,11.0,39.0,4.0,2.0,1.0,1.0,5.0,8.0,1.0,39.0
36,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,327.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,7.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
364,5.0,1.0,21.0,1.0,3.0,1.0,3.0,114.0,2.0,2.0,1.0,26.0,2.0,52.0,2.0,3.0,2.0,1.0,7.0,2.0,0.0,4.0,0.0,14.0,2.0,15.0,60.0,1.0,28.0,0.0,0.0,16.0,21.0,2.0,45.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,0.0,1.0,0.0,3.0,11.0,1.0,1.0,322.0,27.0,2.0,0.0,30.0,0.0,2.0,4.0,0.0,2.0
375,416.0,31.0,73.0,8.0,320.0,12.0,19.0,486.0,47.0,51.0,21.0,180.0,7.0,1.0,255.0,343.0,5.0,19.0,14.0,29.0,13.0,33.0,2.0,957.0,283.0,95.0,124.0,234.0,672.0,879.0,8.0,1654.0,197.0,1444.0,547.0,1150.0,132.0,200.0,17.0,81.0,40.0,8.0,289.0,909.0,49.0,639.0,7.0,6.0,15.0,30.0,59.0,106.0,1194.0,499.0,2698.0,10.0,246.0,8.0,159.0,92.0,553.0,29.0
383,2.0,1.0,3.0,0.0,2.0,4.0,1.0,14.0,6.0,4.0,2.0,3.0,0.0,0.0,4.0,33.0,0.0,1.0,0.0,10.0,16.0,16.0,2.0,6.0,1.0,3.0,3.0,4.0,5.0,5.0,2.0,3.0,39.0,6.0,1.0,68.0,4.0,30.0,2.0,8.0,6.0,0.0,3.0,6.0,2.0,4.0,1.0,4.0,0.0,1.0,2.0,0.0,4.0,2.0,73.0,0.0,17.0,4.0,10.0,1.0,53.0,1.0
385,4.0,0.0,2.0,4.0,3.0,2.0,1.0,3.0,4.0,3.0,2.0,4.0,0.0,0.0,6.0,1.0,3.0,4.0,3.0,2.0,22.0,1.0,0.0,10.0,1.0,13.0,7.0,1.0,3.0,7.0,3.0,7.0,2.0,8.0,2.0,7.0,9.0,2.0,0.0,12.0,0.0,0.0,0.0,7.0,7.0,10.0,0.0,11.0,1.0,0.0,2.0,4.0,8.0,2.0,5.0,0.0,0.0,0.0,0.0,4.0,7.0,5.0
