strain_id,A_noMTX_Trifluoperazine.ERG11_MID2,A_noMTX_Trifluoperazine.TPO1_TCB2,A_noMTX_Trifluoperazine.SNA4_GTR2,A_noMTX_Trifluoperazine.HNM1_MID2,A_noMTX_Trifluoperazine.SNA4_VAC8,A_noMTX_Trifluoperazine.noPPI_reference,A_noMTX_Trifluoperazine.RET2_EMP70,A_noMTX_Trifluoperazine.SRO9_GIS2,A_noMTX_Trifluoperazine.MID2_MAM33,A_noMTX_Trifluoperazine.RET2_SNA3,A_noMTX_Trifluoperazine.HNM1_RBD2,A_noMTX_Trifluoperazine.TPO1_MID2,A_noMTX_Trifluoperazine.ERV25_PIS1,A_noMTX_Trifluoperazine.ALO1_ADE17,A_noMTX_Trifluoperazine.ERV25_ORM2,A_noMTX_Trifluoperazine.ADE17_HYR1,A_noMTX_Trifluoperazine.ERG11_HYR1,A_noMTX_Trifluoperazine.PMC1_CTR2,A_noMTX_Trifluoperazine.FMP45_MEP1,A_noMTX_Trifluoperazine.ERV25_EMP47,A_noMTX_Trifluoperazine.ADE17_PGM2,A_noMTX_Trifluoperazine.FMP45_MID2,A_noMTX_Trifluoperazine.ERG11_TPO4,A_noMTX_Trifluoperazine.ERG11_ERV25,A_noMTX_Trifluoperazine.HUG1_ADE17,A_noMTX_Trifluoperazine.PLM2_HNM1,A_noMTX_Trifluoperazine.SRO9_SGN1,A_noMTX_Trifluoperazine.HUG1_PGM2,A_noMTX_Trifluoperazine.ADE17_GIS2,A_noMTX_Trifluoperazine.GTR1_SLM4,A_noMTX_Trifluoperazine.TPO1_TPO2,A_noMTX_Trifluoperazine.HNM1_TPO1,A_noMTX_Trifluoperazine.HNM1_TPO2,A_noMTX_Trifluoperazine.ALO1_UIP4,A_noMTX_Trifluoperazine.MID2_WSC2,A_noMTX_Trifluoperazine.ERG11_PIS1,A_noMTX_Trifluoperazine.ERG11_ERG5,A_noMTX_Trifluoperazine.ERV25_RBD2,A_noMTX_Trifluoperazine.SSH1_PIS1,A_noMTX_Trifluoperazine.SRO9_DHH1,A_noMTX_Trifluoperazine.HNM1_MAM33,A_noMTX_Trifluoperazine.SSH1_ERG11,A_noMTX_Trifluoperazine.SSH1_ORM2,A_noMTX_Trifluoperazine.ERG11_ORM2,A_noMTX_Trifluoperazine.RET2_EMP47,A_noMTX_Trifluoperazine.DHH1_LSM3,A_noMTX_Trifluoperazine.MID2_TPO2,A_noMTX_Trifluoperazine.ERV25_UIP4,A_noMTX_Trifluoperazine.PLM2_SNA3,A_noMTX_Trifluoperazine.ALO1_HYR1,A_noMTX_Trifluoperazine.HUG1_ALO1,A_noMTX_Trifluoperazine.HNM1_TPO4,A_noMTX_Trifluoperazine.SSH1_ERV25,A_noMTX_Trifluoperazine.ERV25_ERG5,A_noMTX_Trifluoperazine.FMP45_HNM1,A_noMTX_Trifluoperazine.HNM1_ERG11,A_noMTX_Trifluoperazine.MID2_TPO4,A_noMTX_Trifluoperazine.MID2_RSN1,A_noMTX_Trifluoperazine.ERG27_ACF2,A_noMTX_Trifluoperazine.PMC1_GTR2,A_noMTX_Trifluoperazine.MID2_PIN2,A_noMTX_Trifluoperazine.ERG11_ACF2
507,140.0,1.0,150.0,169,8.0,164.0,6.0,5.0,60.0,4.0,74.0,2.0,204.0,14.0,176.0,487.0,81.0,15.0,71.0,100.0,10.0,14.0,47.0,24.0,106.0,20.0,11.0,413.0,76.0,3.0,11.0,12.0,285.0,62.0,197.0,39.0,40.0,4.0,36.0,22.0,95.0,254.0,258.0,27.0,12.0,30.0,146.0,93.0,9.0,219.0,115.0,299.0,99.0,140.0,25.0,25.0,34.0,93.0,183.0,22.0,56.0,5.0
508,375.0,6.0,667.0,90,10.0,209.0,12.0,226.0,95.0,11.0,12.0,189.0,10.0,265.0,58.0,14.0,503.0,109.0,588.0,28.0,3.0,43.0,438.0,112.0,32.0,148.0,428.0,122.0,23.0,1130.0,121.0,8.0,7.0,624.0,244.0,128.0,94.0,9.0,19.0,372.0,95.0,106.0,12.0,33.0,10.0,21.0,203.0,154.0,169.0,10.0,13.0,6.0,16.0,140.0,231.0,17.0,210.0,228.0,46.0,275.0,340.0,7.0
52,140.0,5.0,15.0,38,283.0,23.0,6.0,18.0,6.0,2.0,4.0,273.0,6.0,13.0,6.0,10.0,19.0,76.0,24.0,5.0,12.0,21.0,2.0,6.0,54.0,39.0,3.0,114.0,6.0,6.0,128.0,0.0,5.0,9.0,0.0,39.0,12.0,4.0,0.0,4.0,5.0,16.0,4.0,8.0,9.0,56.0,50.0,9.0,1.0,5.0,30.0,14.0,22.0,17.0,62.0,10.0,20.0,48.0,6.0,195.0,24.0,0.0
520,15.0,1.0,37.0,16,12.0,4.0,3.0,18.0,10.0,1.0,6.0,5.0,6.0,14.0,10.0,9.0,12.0,37.0,39.0,18.0,9.0,22.0,25.0,7.0,12.0,15.0,25.0,45.0,8.0,5.0,7.0,2.0,6.0,42.0,11.0,12.0,23.0,10.0,4.0,4.0,6.0,21.0,11.0,3.0,0.0,18.0,19.0,12.0,28.0,18.0,5.0,4.0,6.0,3.0,18.0,7.0,11.0,15.0,3.0,19.0,26.0,0.0
521,45.0,11.0,533.0,465,12.0,8294.0,11.0,51.0,9.0,20.0,45.0,44.0,36.0,731.0,79.0,64.0,34.0,129.0,417.0,6273.0,35.0,49.0,754.0,104.0,24.0,59.0,114.0,250.0,40.0,81.0,81.0,58.0,28.0,81.0,36.0,2487.0,61.0,49.0,79.0,10.0,85.0,45.0,104.0,58.0,11.0,48.0,160.0,759.0,11.0,42.0,61.0,165.0,63.0,74.0,74.0,109.0,63.0,106.0,32.0,912.0,145.0,78.0
522,567.0,13.0,142.0,253,24.0,96.0,149.0,29.0,108.0,66.0,14.0,28.0,50.0,25.0,241.0,204.0,159.0,28.0,470.0,83.0,1330.0,54.0,88.0,85.0,388.0,44.0,45.0,1605.0,58.0,1470.0,21.0,11.0,144.0,78.0,23.0,74.0,59.0,27.0,16.0,14.0,151.0,69.0,541.0,85.0,9.0,124.0,210.0,82.0,28.0,166.0,294.0,328.0,63.0,61.0,282.0,75.0,80.0,202.0,166.0,35.0,160.0,15.0
523,2168.0,31.0,1301.0,3068,121.0,168.0,49.0,229.0,413.0,50.0,1186.0,198.0,994.0,637.0,1300.0,184.0,2541.0,263.0,1273.0,627.0,7206.0,1149.0,2609.0,1513.0,272.0,743.0,639.0,2748.0,3207.0,92.0,130.0,63.0,591.0,945.0,57.0,4179.0,1905.0,62.0,1341.0,146.0,991.0,956.0,1830.0,3005.0,65.0,214.0,1402.0,976.0,354.0,277.0,257.0,1394.0,568.0,951.0,4501.0,665.0,305.0,574.0,2014.0,541.0,778.0,97.0
524,112.0,5.0,131.0,63,350.0,114.0,7.0,106.0,106.0,5.0,1654.0,67.0,6.0,21.0,337.0,14.0,28.0,11.0,51.0,102.0,9.0,26.0,66.0,111.0,151.0,42.0,115.0,258.0,31.0,38.0,39.0,11.0,282.0,25.0,429.0,44.0,61.0,38.0,436.0,74.0,30.0,113.0,973.0,27.0,13.0,12.0,405.0,123.0,7.0,15.0,62.0,37.0,114.0,145.0,22.0,13.0,263.0,483.0,77.0,53.0,183.0,14.0
525,392.0,14.0,212.0,296,275.0,477.0,34.0,110.0,34.0,21.0,63.0,118.0,699.0,927.0,82.0,298.0,163.0,77.0,382.0,83.0,2328.0,130.0,607.0,885.0,432.0,92.0,144.0,937.0,156.0,13.0,33.0,24.0,382.0,112.0,11.0,252.0,157.0,21.0,392.0,181.0,512.0,503.0,790.0,65.0,29.0,138.0,120.0,264.0,32.0,405.0,355.0,1085.0,168.0,217.0,124.0,19.0,46.0,61.0,3106.0,210.0,42.0,17.0
531,9.0,2.0,6.0,48,2.0,47.0,3.0,14.0,3.0,1.0,3.0,2.0,8.0,10.0,12.0,2.0,6.0,1.0,27.0,28.0,3.0,16.0,14.0,5.0,7.0,7.0,53.0,14.0,2.0,8.0,4.0,2.0,3.0,36.0,2.0,51.0,44.0,3.0,2.0,71.0,2.0,4.0,8.0,6.0,2.0,2.0,26.0,27.0,4.0,5.0,1.0,1.0,7.0,2.0,13.0,8.0,2.0,9.0,7.0,2.0,14.0,2.0
